('M0P1', 'M0P2') [[49.155445]]
('N118', 'M0P1') [[19.965858]]
('N118', 'M0P2') [[19.624716]]
('N123', 'N146') [[19.488224]]
('N54', 'N146') [[19.440826]]
('N0', 'N6') [[19.343512]]
('N51', 'N123') [[19.311087]]
('N15', 'N146') [[19.275917]]
('N39', 'N146') [[19.237375]]
('N135', 'N146') [[19.169737]]
('N64', 'N146') [[19.112564]]
('N51', 'N229') [[19.075365]]
('N128', 'N146') [[19.027916]]
('N54', 'N230') [[19.024212]]
('N51', 'N54') [[19.01176]]
('N6', 'N54') [[18.989414]]
('N54', 'N164') [[18.980171]]
('N6', 'N163') [[18.965712]]
('N118', 'N146') [[18.930489]]
('N6', 'N51') [[18.92881]]
('N90', 'N146') [[18.91447]]
('N90', 'N217') [[18.909536]]
('N15', 'N74') [[18.908232]]
('N30', 'N54') [[18.905369]]
('N6', 'N146') [[18.90028]]
('N6', 'N162') [[18.897606]]
('N36', 'N162') [[18.895184]]
('N67', 'N146') [[18.890999]]
('N21', 'N229') [[18.888716]]
('N51', 'N146') [[18.888361]]
('N61', 'N146') [[18.87919]]
('N6', 'N172') [[18.874615]]
('N142', 'N146') [[18.872332]]
('N136', 'N230') [[18.872017]]
('N6', 'N61') [[18.853952]]
('N118', 'N123') [[18.853703]]
('N66', 'N146') [[18.845737]]
('N67', 'N75') [[18.840342]]
('N51', 'N142') [[18.834494]]
('N0', 'N54') [[18.833704]]
('N146', 'N175') [[18.833183]]
('N32', 'N90') [[18.832384]]
('N63', 'N217') [[18.81275]]
('N229', 'N230') [[18.811256]]
('N54', 'N169') [[18.804762]]
('N8', 'N146') [[18.80202]]
('N54', 'N127') [[18.788544]]
('N32', 'N143') [[18.788292]]
('N6', 'N15') [[18.77974]]
('N146', 'N207') [[18.776035]]
('N32', 'N146') [[18.765144]]
('N48', 'N229') [[18.762]]
('N54', 'N78') [[18.75607]]
('N35', 'N162') [[18.754646]]
('N146', 'N162') [[18.750114]]
('N52', 'N146') [[18.742664]]
('N172', 'N230') [[18.741688]]
('N184', 'N189') [[18.738192]]
('N54', 'N142') [[18.737053]]
('N127', 'N146') [[18.737003]]
('N40', 'N189') [[18.726364]]
('N32', 'N118') [[18.725136]]
('N0', 'N146') [[18.724281]]
('N15', 'N229') [[18.724037]]
('N136', 'N172') [[18.723936]]
('N123', 'M0P1') [[18.721134]]
('N6', 'N32') [[18.719896]]
('N15', 'N172') [[18.719702]]
('N32', 'N103') [[18.716343]]
('N54', 'N189') [[18.71302]]
('N40', 'N127') [[18.71272]]
('N184', 'N229') [[18.705471]]
('N61', 'N75') [[18.703506]]
('N54', 'N136') [[18.69849]]
('N146', 'N220') [[18.696047]]
('N81', 'N161') [[18.694881]]
('N146', 'N172') [[18.69444]]
('N32', 'N189') [[18.693344]]
('N54', 'N86') [[18.69288]]
('N136', 'N146') [[18.69202]]
('N8', 'N40') [[18.690168]]
('N136', 'N152') [[18.68622]]
('N146', 'N152') [[18.684011]]
('N68', 'N146') [[18.683199]]
('N15', 'N230') [[18.68091]]
('N54', 'N229') [[18.680782]]
('N51', 'N197') [[18.6803]]
('N78', 'N146') [[18.678734]]
('N40', 'N146') [[18.67744]]
('N15', 'N145') [[18.67475]]
('N51', 'N74') [[18.674194]]
('N189', 'N229') [[18.673674]]
('N32', 'N217') [[18.670822]]
('N21', 'N146') [[18.666239]]
('N75', 'N169') [[18.664858]]
('N40', 'N230') [[18.663052]]
('N15', 'N236') [[18.662989]]
('N125', 'N146') [[18.662914]]
('N54', 'N74') [[18.6553]]
('N15', 'N162') [[18.653591]]
('N22', 'N161') [[18.651884]]
('N54', 'N99') [[18.650278]]
('N81', 'N146') [[18.650217]]
('N42', 'N54') [[18.649336]]
('N32', 'N172') [[18.643654]]
('N0', 'N22') [[18.642448]]
('N142', 'N184') [[18.6385]]
('N15', 'N40') [[18.637793]]
('N3', 'N40') [[18.63758]]
('N142', 'N147') [[18.637342]]
('N0', 'N142') [[18.635902]]
('N41', 'N118') [[18.633429]]
('N27', 'N146') [[18.631727]]
('N54', 'N199') [[18.630585]]
('N217', 'N229') [[18.629812]]
('N0', 'N32') [[18.62912]]
('N6', 'N217') [[18.627386]]
('N15', 'N128') [[18.624634]]
('N92', 'N146') [[18.624378]]
('N22', 'N146') [[18.62328]]
('N15', 'N51') [[18.62001]]
('N39', 'N190') [[18.618946]]
('N99', 'N146') [[18.617687]]
('N40', 'N61') [[18.617672]]
('N40', 'N217') [[18.616758]]
('N164', 'N173') [[18.614168]]
('N15', 'N39') [[18.612782]]
('N146', 'N253') [[18.612265]]
('N6', 'N184') [[18.612188]]
('N66', 'N135') [[18.61211]]
('N56', 'N146') [[18.610706]]
