('M0P1', 'M0P2') [[67.86315]]
('N170', 'N253') [[19.231655]]
('N170', 'N233') [[19.179525]]
('N1', 'N203') [[19.124252]]
('N51', 'N203') [[19.073849]]
('N1', 'N89') [[19.069662]]
('N199', 'N203') [[18.916931]]
('N103', 'N203') [[18.882982]]
('N147', 'N203') [[18.814423]]
('N136', 'N163') [[18.809135]]
('N3', 'N69') [[18.784067]]
('N72', 'N108') [[18.732258]]
('N3', 'N51') [[18.72686]]
('N203', 'N253') [[18.695383]]
('N139', 'N203') [[18.672762]]
('N53', 'N170') [[18.649788]]
('N184', 'N203') [[18.643818]]
('N47', 'N136') [[18.632374]]
('N16', 'N184') [[18.631313]]
('N24', 'N224') [[18.631212]]
('N88', 'N203') [[18.627531]]
('N69', 'N203') [[18.622408]]
('N131', 'N203') [[18.615288]]
('N203', 'N205') [[18.605143]]
('N170', 'N238') [[18.603056]]
('N158', 'N170') [[18.598537]]
('N51', 'N103') [[18.59436]]
('N24', 'N253') [[18.59081]]
('N18', 'N203') [[18.58643]]
('N203', 'N226') [[18.583815]]
('N170', 'N199') [[18.57799]]
('N40', 'N184') [[18.569956]]
('N203', 'N219') [[18.569582]]
('N103', 'M0P2') [[18.555632]]
('N77', 'N118') [[18.551083]]
('N51', 'N247') [[18.54812]]
('N118', 'N203') [[18.534035]]
('N170', 'N219') [[18.527088]]
('N72', 'N170') [[18.52682]]
('N112', 'N203') [[18.522898]]
('N170', 'N171') [[18.518806]]
('N89', 'N203') [[18.518217]]
('N98', 'N170') [[18.517647]]
('N136', 'N195') [[18.517397]]
('N1', 'N69') [[18.516127]]
('N170', 'N208') [[18.514732]]
('N24', 'N118') [[18.51427]]
('N89', 'N236') [[18.502357]]
('N103', 'N170') [[18.501848]]
('N68', 'N170') [[18.498297]]
('N173', 'N224') [[18.493505]]
('N68', 'N203') [[18.487684]]
('N3', 'N8') [[18.487652]]
('N102', 'N203') [[18.480282]]
('N118', 'N190') [[18.476763]]
('N89', 'N164') [[18.474592]]
('N24', 'N203') [[18.474234]]
('N170', 'N205') [[18.472727]]
('N38', 'N203') [[18.459913]]
('N67', 'N89') [[18.459234]]
('N147', 'N233') [[18.455835]]
('N51', 'N96') [[18.452942]]
('N133', 'N203') [[18.451853]]
('N155', 'N158') [[18.45087]]
('N190', 'N203') [[18.45077]]
('N1', 'N3') [[18.447292]]
('N170', 'N203') [[18.444279]]
('N16', 'N89') [[18.443562]]
('N51', 'N138') [[18.443203]]
('N51', 'N233') [[18.440275]]
('N1', 'N158') [[18.438911]]
('N51', 'N210') [[18.434101]]
