('M0P1', 'M0P2') [[39.257465]]
('N160', 'N251') [[19.568708]]
('N148', 'N200') [[19.56217]]
('N180', 'N213') [[19.37701]]
('N160', 'N163') [[19.355635]]
('N231', 'N235') [[19.341982]]
('N57', 'N231') [[19.339828]]
('N63', 'N231') [[19.331959]]
('N153', 'N196') [[19.324629]]
('N200', 'N251') [[19.281303]]
('N75', 'N231') [[19.273598]]
('N210', 'N231') [[19.260838]]
('N200', 'N231') [[19.237486]]
('N57', 'N200') [[19.232569]]
('N118', 'N213') [[19.21427]]
('N202', 'N248') [[19.192177]]
('N116', 'N248') [[19.183907]]
('N31', 'N47') [[19.181978]]
('N118', 'N160') [[19.158998]]
('N67', 'N231') [[19.15179]]
('N94', 'N213') [[19.13443]]
('N94', 'N200') [[19.13131]]
('N160', 'N231') [[19.127176]]
('N102', 'N200') [[19.108889]]
('N118', 'N137') [[19.105686]]
('N79', 'N196') [[19.093622]]
('N28', 'N251') [[19.089966]]
('N67', 'N196') [[19.084862]]
('N185', 'N200') [[19.082678]]
('N171', 'N231') [[19.07588]]
('N46', 'N148') [[19.067608]]
('N180', 'N253') [[19.04312]]
('N180', 'N200') [[19.042765]]
('N94', 'N251') [[19.036522]]
('N28', 'N231') [[19.030287]]
('N153', 'N231') [[19.027641]]
('N193', 'N200') [[19.025616]]
('N148', 'N231') [[19.020222]]
('N128', 'N137') [[19.017366]]
('N148', 'N251') [[19.013222]]
('N205', 'N231') [[19.008718]]
('N105', 'N196') [[19.00597]]
('N148', 'N202') [[19.000183]]
('N196', 'N231') [[18.99531]]
('N231', 'N237') [[18.993137]]
('N46', 'N122') [[18.982948]]
('N213', 'N251') [[18.977736]]
('N212', 'N231') [[18.977207]]
('N102', 'N251') [[18.975487]]
('N118', 'N175') [[18.972126]]
('N54', 'N251') [[18.969852]]
('N118', 'N153') [[18.966385]]
('N153', 'N251') [[18.962769]]
('N160', 'N206') [[18.944351]]
('N212', 'N251') [[18.942432]]
('N154', 'N231') [[18.93547]]
('N57', 'N160') [[18.932352]]
('N105', 'N231') [[18.932055]]
('N206', 'N210') [[18.925135]]
('N180', 'N251') [[18.92505]]
('N160', 'N196') [[18.915993]]
('N11', 'N94') [[18.913548]]
('N153', 'N235') [[18.911823]]
('N46', 'N204') [[18.910677]]
('N158', 'N231') [[18.909374]]
('N94', 'N148') [[18.9087]]
('N151', 'N213') [[18.9064]]
('N117', 'N231') [[18.903343]]
('N231', 'N239') [[18.902958]]
('N200', 'N222') [[18.90129]]
('N137', 'N251') [[18.90082]]
('N18', 'N231') [[18.900118]]
('N148', 'N171') [[18.89575]]
('N231', 'N251') [[18.893986]]
('N18', 'N160') [[18.88416]]
('N204', 'N251') [[18.883705]]
('N6', 'N213') [[18.88087]]
('N65', 'N251') [[18.879389]]
('N230', 'N251') [[18.876575]]
('N202', 'N251') [[18.87348]]
('N131', 'N231') [[18.871674]]
('N200', 'N213') [[18.870647]]
('N160', 'N248') [[18.866]]
('N202', 'N231') [[18.865479]]
('N155', 'N251') [[18.864815]]
('N160', 'N188') [[18.864153]]
('N151', 'N231') [[18.861399]]
('N102', 'N239') [[18.856522]]
('N208', 'N231') [[18.852413]]
('N145', 'N231') [[18.849844]]
('N118', 'N230') [[18.847494]]
('N105', 'N202') [[18.842058]]
('N54', 'N231') [[18.83927]]
('N206', 'N231') [[18.836332]]
('N74', 'N231') [[18.833328]]
('N100', 'N118') [[18.832607]]
('N67', 'N219') [[18.831861]]
('N200', 'N205') [[18.830387]]
('N160', 'N202') [[18.829176]]
('N122', 'N155') [[18.828728]]
('N188', 'N231') [[18.824272]]
('N148', 'N160') [[18.820644]]
('N102', 'N137') [[18.8186]]
('N108', 'N200') [[18.815573]]
('N106', 'N160') [[18.815083]]
('N75', 'N239') [[18.814674]]
('N11', 'N200') [[18.81057]]
('N28', 'N200') [[18.810345]]
('N221', 'N231') [[18.809452]]
('N160', 'N213') [[18.809254]]
('N193', 'N231') [[18.808474]]
('N87', 'N231') [[18.80804]]
('N105', 'N110') [[18.807358]]
('N25', 'N231') [[18.80652]]
('N20', 'N231') [[18.805466]]
('N129', 'N196') [[18.803362]]
('N18', 'N102') [[18.80332]]
('N34', 'N148') [[18.801847]]
('N128', 'N231') [[18.801504]]
('N92', 'N231') [[18.800968]]
('N161', 'N231') [[18.799494]]
('N61', 'N160') [[18.796263]]
('N6', 'N200') [[18.79591]]
('N102', 'N231') [[18.79553]]
('N108', 'N231') [[18.793367]]
('N11', 'N105') [[18.793322]]
('N219', 'N231') [[18.791622]]
('N110', 'N112') [[18.79084]]
('N110', 'N160') [[18.790438]]
('N175', 'N222') [[18.790329]]
('N222', 'N251') [[18.788412]]
('N23', 'N118') [[18.787971]]
('N46', 'N206') [[18.784729]]
('N148', 'N213') [[18.783453]]
('N159', 'N231') [[18.782846]]
('N47', 'N251') [[18.781696]]
('N133', 'N251') [[18.779669]]
('N46', 'N102') [[18.776913]]
('N100', 'N251') [[18.774633]]
('N10', 'N148') [[18.773136]]
('N11', 'N237') [[18.7709]]
('N94', 'N102') [[18.770348]]
('N94', 'N212') [[18.769182]]
('N11', 'N213') [[18.768595]]
('N145', 'N200') [[18.765158]]
('N67', 'N118') [[18.763517]]
('N11', 'N160') [[18.762442]]
('N137', 'N248') [[18.76192]]
('N118', 'N163') [[18.761639]]
('N110', 'N208') [[18.75988]]
('N145', 'N251') [[18.758846]]
('N11', 'N180') [[18.758713]]
('N55', 'N231') [[18.75816]]
('N152', 'N193') [[18.756838]]
('N102', 'N110') [[18.756422]]
('N94', 'N196') [[18.754377]]
('N10', 'N251') [[18.752186]]
('N202', 'N204') [[18.751112]]
('N46', 'N110') [[18.75109]]
('N158', 'N200') [[18.750883]]
('N46', 'N202') [[18.748714]]
('N31', 'N148') [[18.747213]]
('N59', 'N204') [[18.742678]]
('N11', 'N108') [[18.740068]]
('N127', 'N160') [[18.737522]]
('N204', 'N231') [[18.734903]]
('N208', 'N248') [[18.733929]]
('N148', 'N206') [[18.732344]]
('N20', 'N46') [[18.731941]]
('N77', 'N231') [[18.730282]]
('N99', 'N231') [[18.729591]]
('N105', 'N153') [[18.721996]]
('N49', 'N160') [[18.721739]]
('N53', 'N153') [[18.721352]]
('N140', 'N231') [[18.71978]]
('N46', 'N242') [[18.717789]]
('N146', 'N231') [[18.7121]]
('N43', 'N46') [[18.711334]]
('N118', 'N206') [[18.71019]]
('N118', 'N180') [[18.70969]]
('N94', 'N171') [[18.709211]]
('N127', 'N163') [[18.70718]]
('N43', 'N148') [[18.705755]]
('N94', 'N160') [[18.704838]]
('N129', 'N160') [[18.704203]]
('N231', 'N238') [[18.703934]]
('N213', 'N231') [[18.703697]]
('N92', 'N160') [[18.70356]]
('N193', 'N196') [[18.703028]]
('N83', 'N231') [[18.70003]]
('N160', 'N210') [[18.696909]]
('N185', 'N231') [[18.69492]]
('N222', 'N231') [[18.693092]]
('N137', 'N204') [[18.689884]]
('N67', 'N160') [[18.688715]]
('N11', 'N102') [[18.687529]]
('N21', 'N110') [[18.687449]]
('N46', 'N105') [[18.686684]]
('N46', 'N212') [[18.684855]]
('N94', 'N153') [[18.68218]]
('N67', 'N92') [[18.681765]]
('N231', 'N233') [[18.681015]]
('N118', 'N251') [[18.679844]]
('N136', 'N231') [[18.67943]]
('N60', 'N200') [[18.674908]]
('N160', 'N181') [[18.67452]]
('N160', 'N222') [[18.672085]]
('N231', 'N243') [[18.67191]]
('N102', 'N151') [[18.671135]]
('N108', 'N251') [[18.671055]]
('N141', 'N160') [[18.669912]]
('N153', 'N237') [[18.66903]]
('N102', 'N153') [[18.66649]]
('N23', 'N200') [[18.666283]]
('N94', 'N187') [[18.66547]]
('N11', 'N253') [[18.662113]]
('N208', 'N213') [[18.661703]]
('N11', 'N57') [[18.660946]]
