('M0P1', 'M0P2') [[59.492115]]
('N159', 'M0P2') [[20.42698]]
('N159', 'M0P1') [[19.8642]]
('N159', 'N168') [[19.223747]]
('N34', 'N226') [[19.110449]]
('N159', 'N222') [[19.083956]]
('N159', 'N180') [[19.076504]]
('N16', 'N159') [[19.014805]]
('N16', 'N132') [[18.914282]]
('N62', 'N159') [[18.881641]]
('N117', 'N132') [[18.87377]]
('N16', 'N150') [[18.83524]]
('N36', 'N159') [[18.826334]]
('N180', 'N223') [[18.816721]]
('N15', 'N159') [[18.784723]]
('N94', 'N132') [[18.776976]]
('N37', 'N132') [[18.775251]]
('N115', 'N222') [[18.769106]]
('N159', 'N166') [[18.754341]]
('N132', 'N186') [[18.709522]]
('N105', 'N159') [[18.703283]]
('N60', 'N168') [[18.689346]]
('N155', 'N159') [[18.685493]]
('N155', 'N222') [[18.668995]]
('N50', 'N159') [[18.661833]]
('N16', 'N36') [[18.652653]]
('N41', 'N159') [[18.652237]]
('N159', 'N178') [[18.645859]]
('N159', 'N224') [[18.636621]]
('N20', 'N229') [[18.610126]]
('N159', 'N223') [[18.608236]]
('N105', 'N132') [[18.599407]]
('N37', 'N223') [[18.597172]]
('N116', 'N194') [[18.593716]]
('N20', 'N230') [[18.590038]]
('N155', 'M0P2') [[18.58661]]
('N16', 'N200') [[18.584717]]
('N37', 'N190') [[18.581472]]
('N20', 'N163') [[18.581272]]
('N16', 'N222') [[18.577618]]
('N16', 'N223') [[18.556684]]
('N16', 'N140') [[18.548597]]
('N60', 'N159') [[18.548477]]
('N37', 'N222') [[18.548264]]
('N16', 'N26') [[18.531815]]
('N132', 'N159') [[18.53162]]
('N16', 'N37') [[18.529417]]
('N66', 'N83') [[18.529316]]
('N82', 'N154') [[18.52554]]
('N60', 'N185') [[18.516592]]
('N79', 'N185') [[18.499062]]
('N20', 'N104') [[18.48538]]
('N132', 'N168') [[18.480776]]
('N37', 'N124') [[18.479813]]
('N39', 'N153') [[18.478565]]
('N154', 'N155') [[18.477365]]
('N45', 'N159') [[18.477215]]
('N19', 'N180') [[18.47591]]
('N37', 'N125') [[18.475088]]
('N108', 'N159') [[18.46757]]
('N36', 'M0P2') [[18.460987]]
('N36', 'N168') [[18.45611]]
('N33', 'N159') [[18.454119]]
('N28', 'N39') [[18.444801]]
('N34', 'N194') [[18.443258]]
('N19', 'N76') [[18.441046]]
('N146', 'N159') [[18.440907]]
('N20', 'N180') [[18.439013]]
('N142', 'N153') [[18.435888]]
('N37', 'N242') [[18.432343]]
('N186', 'N245') [[18.431032]]
('N245', 'N247') [[18.430079]]
('N195', 'N206') [[18.42931]]
('N13', 'N20') [[18.427832]]
('N20', 'N39') [[18.426903]]
('N26', 'N247') [[18.423454]]
('N20', 'N124') [[18.422174]]
('N140', 'M0P2') [[18.414383]]
('N161', 'N200') [[18.413723]]
('N16', 'N27') [[18.411833]]
('N16', 'N229') [[18.41001]]
('N26', 'N159') [[18.408428]]
('N37', 'N158') [[18.396776]]
('N127', 'N159') [[18.395987]]
('N20', 'N190') [[18.392607]]
('N50', 'N140') [[18.39178]]
('N132', 'N190') [[18.391348]]
('N39', 'N185') [[18.386501]]
('N99', 'N159') [[18.383503]]
('N20', 'N45') [[18.382185]]
('N16', 'N28') [[18.375683]]
('N57', 'N120') [[18.375349]]
('N26', 'N140') [[18.3702]]
('N58', 'N168') [[18.370146]]
('N36', 'N180') [[18.36295]]
('N115', 'N125') [[18.360468]]
('N230', 'N245') [[18.356384]]
('N12', 'N19') [[18.351456]]
('N13', 'N248') [[18.345896]]
('N18', 'N159') [[18.342806]]
('N22', 'N37') [[18.341574]]
('N12', 'N37') [[18.338068]]
('N20', 'N140') [[18.335114]]
('N58', 'N125') [[18.33382]]
('N155', 'N226') [[18.333443]]
('N20', 'N161') [[18.333302]]
('N140', 'N168') [[18.332693]]
('N19', 'N89') [[18.331774]]
('N82', 'N203') [[18.33161]]
('N16', 'N155') [[18.328728]]
('N37', 'N230') [[18.328087]]
('N16', 'N247') [[18.326937]]
('N99', 'N168') [[18.325926]]
('N140', 'N159') [[18.32285]]
('N33', 'N180') [[18.322187]]
('N37', 'N116') [[18.31917]]
('N161', 'N185') [[18.317]]
('N111', 'N194') [[18.314568]]
('N154', 'N159') [[18.3139]]
('N16', 'N186') [[18.313272]]
('N105', 'N216') [[18.307936]]
('N159', 'N190') [[18.305412]]
('N118', 'N159') [[18.30175]]
('N8', 'N159') [[18.299786]]
('N16', 'N117') [[18.299757]]
('N20', 'N132') [[18.299107]]
('N125', 'N132') [[18.296217]]
('N16', 'N215') [[18.295671]]
('N52', 'N222') [[18.291645]]
('N37', 'N79') [[18.290436]]
('N116', 'N132') [[18.285608]]
