('M0P1', 'M0P2') [[38.71515]]
('N40', 'N186') [[19.729397]]
('N94', 'N97') [[19.57729]]
('N2', 'N94') [[19.453379]]
('N40', 'N49') [[19.354015]]
('N29', 'N186') [[19.340672]]
('N19', 'N148') [[19.302355]]
('N29', 'N146') [[19.23542]]
('N2', 'N29') [[19.215977]]
('N36', 'N94') [[19.202753]]
('N88', 'N148') [[19.169218]]
('N118', 'N137') [[19.1582]]
('N19', 'N94') [[19.148392]]
('N94', 'N220') [[19.13195]]
('N19', 'N222') [[19.127213]]
('N94', 'N248') [[19.126682]]
('N151', 'N220') [[19.105389]]
('N94', 'N234') [[19.101282]]
('N82', 'N118') [[19.073305]]
('N31', 'N94') [[19.06786]]
('N2', 'N186') [[19.063633]]
('N94', 'N192') [[19.062176]]
('N19', 'N42') [[19.06063]]
('N94', 'N163') [[19.032974]]
('N29', 'N122') [[19.028702]]
('N21', 'N44') [[19.005093]]
('N192', 'N210') [[18.998177]]
('N94', 'N185') [[18.990522]]
('N180', 'N248') [[18.989508]]
('N40', 'N133') [[18.978216]]
('N133', 'N185') [[18.976627]]
('N82', 'N94') [[18.976572]]
('N94', 'N133') [[18.976528]]
('N21', 'N56') [[18.972034]]
('N94', 'N201') [[18.970903]]
('N133', 'N155') [[18.970264]]
('N40', 'N199') [[18.96965]]
('N1', 'N248') [[18.96549]]
('N94', 'N155') [[18.961178]]
('N94', 'N223') [[18.959812]]
('N1', 'N29') [[18.953827]]
('N94', 'N108') [[18.937542]]
('N94', 'N178') [[18.936361]]
('N49', 'N238') [[18.9199]]
('N94', 'N121') [[18.919165]]
('N29', 'N162') [[18.91138]]
('N94', 'N238') [[18.90214]]
('N29', 'N42') [[18.889183]]
('N40', 'N148') [[18.887133]]
('N94', 'N206') [[18.881681]]
('N134', 'N210') [[18.880814]]
('N88', 'N211') [[18.879475]]
('N38', 'N148') [[18.871815]]
('N38', 'N40') [[18.870718]]
('N40', 'N180') [[18.867947]]
('N19', 'N130') [[18.864918]]
('N40', 'N150') [[18.863016]]
('N21', 'N81') [[18.861559]]
('N133', 'N142') [[18.861073]]
('N94', 'N162') [[18.85531]]
('N150', 'N238') [[18.853556]]
('N32', 'N223') [[18.850428]]
('N40', 'N202') [[18.846178]]
('N29', 'N94') [[18.84351]]
('N94', 'N145') [[18.841276]]
('N19', 'N238') [[18.838125]]
('N38', 'N81') [[18.836548]]
('N94', 'N96') [[18.836224]]
('N2', 'N133') [[18.834879]]
('N94', 'N165') [[18.825354]]
('N19', 'N237') [[18.822947]]
('N21', 'N94') [[18.818663]]
('N50', 'N94') [[18.818445]]
('N94', 'N247') [[18.816309]]
('N118', 'N165') [[18.813505]]
('N38', 'N220') [[18.813473]]
('N19', 'N40') [[18.812523]]
('N82', 'N133') [[18.811361]]
('N19', 'N202') [[18.80826]]
('N29', 'N220') [[18.801468]]
('N94', 'N95') [[18.799255]]
('N94', 'N199') [[18.798742]]
('N94', 'N141') [[18.796032]]
('N49', 'N162') [[18.792467]]
('N148', 'N206') [[18.79073]]
('N133', 'N220') [[18.790207]]
('N133', 'N222') [[18.789434]]
('N56', 'N94') [[18.788525]]
('N2', 'N155') [[18.788145]]
('N40', 'N88') [[18.782454]]
('N40', 'N97') [[18.779013]]
('N2', 'N192') [[18.774868]]
('N220', 'N238') [[18.77482]]
('N180', 'N202') [[18.77034]]
('N40', 'N140') [[18.769426]]
('N89', 'N94') [[18.763474]]
('N94', 'N231') [[18.760721]]
('N91', 'N98') [[18.7584]]
('N94', 'N118') [[18.757236]]
('N32', 'N180') [[18.755686]]
('N42', 'N245') [[18.754753]]
('N219', 'N220') [[18.753822]]
('N42', 'N97') [[18.749691]]
('N94', 'N186') [[18.746428]]
('N11', 'N19') [[18.746239]]
('N19', 'N182') [[18.743855]]
('N94', 'N182') [[18.74381]]
('N21', 'N49') [[18.743]]
('N1', 'N42') [[18.742088]]
('N42', 'N202') [[18.74168]]
('N19', 'N56') [[18.739162]]
('N56', 'N190') [[18.7369]]
('N29', 'N116') [[18.736576]]
('N94', 'N151') [[18.7363]]
('N186', 'N220') [[18.73099]]
('N82', 'N234') [[18.730175]]
('N94', 'N210') [[18.728363]]
('N50', 'N137') [[18.726194]]
('N81', 'N137') [[18.72301]]
('N82', 'N150') [[18.716242]]
('N133', 'N164') [[18.71475]]
('N19', 'N150') [[18.711174]]
('N32', 'N133') [[18.710232]]
('N19', 'N39') [[18.706623]]
('N94', 'N158') [[18.705885]]
('N29', 'N148') [[18.70535]]
('N21', 'N118') [[18.70388]]
('N155', 'N223') [[18.697556]]
('N76', 'N94') [[18.694147]]
('N148', 'N181') [[18.692093]]
('N18', 'N220') [[18.689102]]
('N2', 'N220') [[18.687685]]
('N10', 'N97') [[18.686956]]
('N2', 'N10') [[18.686481]]
('N126', 'N155') [[18.683428]]
('N2', 'N163') [[18.682648]]
('N50', 'N118') [[18.681164]]
('N40', 'N118') [[18.679438]]
('N220', 'N222') [[18.679308]]
('N10', 'N29') [[18.67797]]
('N94', 'N131') [[18.677935]]
('N29', 'N38') [[18.67438]]
('N94', 'N167') [[18.672132]]
('N137', 'N238') [[18.671064]]
('N133', 'N150') [[18.66967]]
('N76', 'N231') [[18.668583]]
('N10', 'N223') [[18.668304]]
('N1', 'N94') [[18.666891]]
('N40', 'N42') [[18.664555]]
('N146', 'N155') [[18.662842]]
('N21', 'N29') [[18.66221]]
('N21', 'N204') [[18.66092]]
('N2', 'N222') [[18.660694]]
('N148', 'N238') [[18.658932]]
('N97', 'N248') [[18.658115]]
('N82', 'N186') [[18.656765]]
('N40', 'N121') [[18.655748]]
('N128', 'N210') [[18.655453]]
('N40', 'N210') [[18.654255]]
('N21', 'N40') [[18.652391]]
('N40', 'N155') [[18.652182]]
('N2', 'N80') [[18.652056]]
('N40', 'N94') [[18.650063]]
('N81', 'N118') [[18.649164]]
('N49', 'N50') [[18.648575]]
('N40', 'N222') [[18.648048]]
('N40', 'N81') [[18.647669]]
('N10', 'N180') [[18.646952]]
('N82', 'N162') [[18.64657]]
