('M0P1', 'M0P2') [[38.91399]]
('N49', 'N215') [[19.847326]]
('N69', 'N215') [[19.798569]]
('N173', 'N215') [[19.61696]]
('N160', 'N215') [[19.579832]]
('N177', 'N215') [[19.529501]]
('N58', 'N90') [[19.520601]]
('N28', 'N215') [[19.519548]]
('N75', 'N160') [[19.493582]]
('N11', 'N215') [[19.488173]]
('N52', 'N177') [[19.476276]]
('N67', 'N215') [[19.45312]]
('N158', 'N215') [[19.434498]]
('N28', 'N158') [[19.429821]]
('N67', 'N181') [[19.395866]]
('N163', 'N215') [[19.395107]]
('N173', 'N181') [[19.388548]]
('N67', 'N160') [[19.387817]]
('N28', 'N49') [[19.324043]]
('N173', 'N241') [[19.316328]]
('N37', 'N173') [[19.315094]]
('N114', 'N209') [[19.313135]]
('N177', 'N209') [[19.306038]]
('N112', 'N181') [[19.30082]]
('N215', 'N221') [[19.300339]]
('N45', 'N69') [[19.300106]]
('N31', 'N90') [[19.296827]]
('N49', 'N177') [[19.28922]]
('N73', 'N215') [[19.284986]]
('N40', 'N160') [[19.276302]]
('N67', 'N144') [[19.260748]]
('N143', 'N215') [[19.248724]]
('N105', 'N201') [[19.24428]]
('N67', 'N125') [[19.24041]]
('N52', 'N158') [[19.23799]]
('N158', 'N177') [[19.223047]]
('N158', 'N173') [[19.217102]]
('N52', 'N215') [[19.209574]]
('N51', 'N67') [[19.19977]]
('N69', 'N72') [[19.198782]]
('N69', 'N181') [[19.197742]]
('N69', 'N75') [[19.195168]]
('N75', 'N144') [[19.194265]]
('N69', 'N160') [[19.1858]]
('N125', 'N216') [[19.185308]]
('N75', 'N151') [[19.182287]]
('N181', 'N215') [[19.174097]]
('N213', 'N215') [[19.171103]]
('N28', 'N173') [[19.161049]]
('N73', 'N75') [[19.154766]]
('N58', 'N201') [[19.148182]]
('N58', 'N173') [[19.143517]]
('N69', 'N173') [[19.137022]]
('N60', 'N95') [[19.135765]]
('N158', 'N246') [[19.133694]]
('N96', 'N215') [[19.133528]]
('N95', 'N215') [[19.127455]]
('N49', 'N213') [[19.117254]]
('N69', 'N90') [[19.112955]]
('N73', 'N227') [[19.110512]]
('N11', 'N151') [[19.108007]]
('N58', 'N181') [[19.10339]]
('N96', 'N181') [[19.100313]]
('N52', 'N58') [[19.099192]]
('N158', 'N176') [[19.089691]]
('N73', 'N180') [[19.088993]]
('N173', 'N177') [[19.087296]]
('N28', 'N52') [[19.08026]]
('N143', 'N181') [[19.07911]]
('N75', 'N125') [[19.078104]]
('N69', 'N73') [[19.076313]]
('N49', 'N158') [[19.075686]]
('N52', 'N216') [[19.074368]]
('N95', 'N144') [[19.056145]]
('N60', 'N215') [[19.049644]]
('N114', 'N213') [[19.04922]]
('N215', 'N246') [[19.044065]]
('N67', 'N143') [[19.039412]]
('N114', 'N173') [[19.032537]]
('N95', 'N158') [[19.031874]]
('N143', 'N158') [[19.029203]]
('N69', 'N158') [[19.02524]]
('N49', 'N69') [[19.018862]]
