('M0P1', 'M0P2') [[44.6993]]
('N155', 'M0P2') [[20.072952]]
('N155', 'M0P1') [[19.977057]]
('N105', 'N155') [[19.736364]]
('N105', 'N167') [[19.513996]]
('N70', 'N229') [[19.493788]]
('N104', 'N154') [[19.423216]]
('N165', 'N208') [[19.372145]]
('N91', 'N154') [[19.354322]]
('N63', 'N225') [[19.339804]]
('N31', 'N51') [[19.326506]]
('N105', 'N193') [[19.312857]]
('N45', 'N154') [[19.29841]]
('N167', 'N233') [[19.292143]]
('N220', 'N225') [[19.278553]]
('N45', 'N128') [[19.275187]]
('N96', 'N154') [[19.265476]]
('N29', 'N167') [[19.24418]]
('N30', 'N105') [[19.24031]]
('N105', 'N208') [[19.236242]]
('N91', 'N155') [[19.228163]]
('N105', 'N154') [[19.22793]]
('N154', 'N167') [[19.222372]]
('N154', 'N165') [[19.216803]]
('N104', 'N229') [[19.216633]]
('N105', 'N115') [[19.216537]]
('N91', 'N229') [[19.195309]]
('N109', 'N155') [[19.19338]]
('N13', 'N142') [[19.193365]]
('N64', 'N229') [[19.159842]]
('N70', 'N154') [[19.15192]]
('N105', 'N200') [[19.14807]]
('N30', 'N120') [[19.146889]]
('N11', 'N155') [[19.146805]]
('N11', 'N105') [[19.127424]]
('N167', 'N193') [[19.116844]]
('N49', 'N193') [[19.115776]]
('N165', 'N204') [[19.115187]]
('N91', 'N220') [[19.112352]]
('N49', 'N84') [[19.094765]]
('N32', 'N105') [[19.091293]]
('N31', 'N89') [[19.090296]]
('N22', 'N155') [[19.089012]]
('N70', 'N193') [[19.085642]]
('N32', 'N220') [[19.085463]]
('N128', 'N154') [[19.085283]]
('N30', 'N229') [[19.076962]]
('N31', 'N91') [[19.06803]]
('N120', 'N252') [[19.064848]]
('N120', 'N208') [[19.062641]]
('N111', 'N154') [[19.055082]]
('N154', 'N220') [[19.049711]]
('N31', 'N120') [[19.03415]]
('N154', 'N229') [[19.022999]]
('N105', 'N247') [[19.020529]]
('N187', 'N208') [[19.012667]]
('N20', 'N154') [[19.0094]]
('N51', 'N120') [[18.994234]]
('N13', 'N167') [[18.990469]]
('N142', 'N154') [[18.987677]]
('N49', 'N91') [[18.98764]]
('N34', 'N91') [[18.986559]]
('N60', 'N142') [[18.982166]]
('N144', 'N154') [[18.972216]]
('N154', 'N155') [[18.970135]]
('N91', 'N111') [[18.968567]]
('N34', 'N154') [[18.966383]]
('N63', 'N105') [[18.964178]]
('N24', 'N165') [[18.956875]]
('N23', 'N252') [[18.95592]]
('N182', 'N197') [[18.948402]]
('N87', 'N120') [[18.945763]]
('N112', 'N252') [[18.93625]]
('N167', 'N229') [[18.930609]]
('N45', 'N87') [[18.927769]]
('N209', 'N229') [[18.92226]]
('N15', 'N193') [[18.919712]]
('N23', 'N60') [[18.915373]]
('N91', 'N104') [[18.913118]]
('N193', 'N229') [[18.91258]]
('N16', 'N154') [[18.911722]]
('N18', 'N154') [[18.910425]]
('N147', 'N154') [[18.91003]]
('N71', 'N167') [[18.908157]]
('N49', 'N200') [[18.907507]]
('N115', 'N154') [[18.902826]]
('N45', 'N188') [[18.90256]]
('N60', 'N208') [[18.900307]]
('N51', 'N154') [[18.899767]]
('N15', 'N63') [[18.89457]]
('N105', 'N120') [[18.887306]]
('N23', 'N147') [[18.88372]]
