('M0P1', 'M0P2') [[36.827335]]
('N223', 'M0P1') [[20.263424]]
('N223', 'N232') [[19.99831]]
('N223', 'M0P2') [[19.939413]]
('N0', 'N223') [[19.614002]]
('N92', 'N223') [[19.495148]]
('N90', 'N223') [[19.460482]]
('N51', 'N93') [[19.444252]]
('N90', 'N247') [[19.394083]]
('N140', 'M0P2') [[19.391691]]
('N140', 'M0P1') [[19.372112]]
('N91', 'N223') [[19.334389]]
('N47', 'N233') [[19.33072]]
('N84', 'N190') [[19.317225]]
('N140', 'N223') [[19.315653]]
('N153', 'N190') [[19.310617]]
('N51', 'N235') [[19.304201]]
('N38', 'N84') [[19.287693]]
('N53', 'N93') [[19.28407]]
('N114', 'N140') [[19.271992]]
('N223', 'N247') [[19.271765]]
('N51', 'N223') [[19.26909]]
('N90', 'N103') [[19.26506]]
('N236', 'N247') [[19.257689]]
('N50', 'N150') [[19.25601]]
('N150', 'N223') [[19.255854]]
('N53', 'N223') [[19.247913]]
('N51', 'N233') [[19.243994]]
('N150', 'N232') [[19.240076]]
('N44', 'N223') [[19.232082]]
('N148', 'N215') [[19.22252]]
('N93', 'N221') [[19.22]]
('N90', 'N114') [[19.213566]]
('N38', 'N146') [[19.206596]]
('N44', 'N248') [[19.199574]]
('N51', 'N161') [[19.19046]]
('N44', 'N91') [[19.17618]]
('N51', 'N163') [[19.164251]]
('N51', 'N137') [[19.15536]]
('N53', 'N102') [[19.155018]]
('N102', 'M0P1') [[19.15425]]
('N235', 'N238') [[19.141472]]
('N102', 'N213') [[19.120543]]
('N51', 'N65') [[19.11041]]
('N65', 'N208') [[19.109749]]
('N53', 'N248') [[19.106655]]
('N132', 'N223') [[19.10204]]
('N38', 'N218') [[19.095394]]
('N90', 'N140') [[19.083826]]
('N51', 'N181') [[19.079325]]
('N44', 'N114') [[19.066837]]
('N24', 'N53') [[19.05823]]
('N81', 'N233') [[19.056795]]
('N51', 'N208') [[19.04788]]
('N90', 'N102') [[19.046846]]
('N91', 'N153') [[19.044106]]
('N139', 'N248') [[19.039156]]
('N51', 'N81') [[19.03161]]
('N150', 'N161') [[19.029793]]
('N65', 'N191') [[19.027758]]
('N0', 'N233') [[19.027452]]
('N57', 'N65') [[19.022566]]
('N1', 'N146') [[19.021397]]
('N65', 'N223') [[19.017395]]
('N38', 'N127') [[19.01433]]
('N38', 'N90') [[19.012857]]
('N59', 'N153') [[19.0047]]
('N38', 'N158') [[19.00286]]
('N44', 'N213') [[18.991125]]
('N110', 'N114') [[18.991081]]
('N223', 'N243') [[18.987762]]
('N70', 'N213') [[18.98743]]
('N44', 'N140') [[18.985474]]
('N53', 'N162') [[18.981602]]
('N12', 'N233') [[18.980167]]
('N10', 'N162') [[18.980164]]
('N54', 'N114') [[18.977373]]
('N140', 'N190') [[18.974617]]
('N53', 'N150') [[18.974157]]
('N148', 'N208') [[18.971182]]
('N51', 'N150') [[18.963572]]
('N217', 'N233') [[18.963316]]
('N51', 'N90') [[18.96297]]
('N64', 'N208') [[18.962378]]
('N223', 'N236') [[18.960312]]
('N54', 'N90') [[18.955984]]
('N153', 'N248') [[18.955833]]
('N54', 'N190') [[18.950047]]
('N176', 'N230') [[18.946894]]
('N137', 'N235') [[18.946707]]
('N51', 'N252') [[18.946247]]
('N53', 'N158') [[18.945885]]
('N44', 'N90') [[18.941145]]
('N114', 'N247') [[18.939966]]
('N53', 'N90') [[18.933634]]
('N90', 'N244') [[18.931334]]
('N90', 'M0P1') [[18.931246]]
('N213', 'N215') [[18.930716]]
('N137', 'N233') [[18.928492]]
('N50', 'N53') [[18.927927]]
('N153', 'N208') [[18.927423]]
('N3', 'N213') [[18.926811]]
('N69', 'N146') [[18.92602]]
('N83', 'N161') [[18.923813]]
('N116', 'N148') [[18.923264]]
('N3', 'N223') [[18.921843]]
('N12', 'N51') [[18.919292]]
('N29', 'N223') [[18.919289]]
('N84', 'N148') [[18.916254]]
('N180', 'N233') [[18.916006]]
('N3', 'N243') [[18.912895]]
('N64', 'N153') [[18.912083]]
('N84', 'N208') [[18.910269]]
('N48', 'N208') [[18.907372]]
('N44', 'N54') [[18.906578]]
('N181', 'N233') [[18.906109]]
('N40', 'N153') [[18.905354]]
('N102', 'N111') [[18.90516]]
('N197', 'N223') [[18.903954]]
('N91', 'N219') [[18.90383]]
('N69', 'N190') [[18.903097]]
('N54', 'M0P1') [[18.902073]]
('N3', 'N64') [[18.901968]]
('N95', 'N185') [[18.899818]]
('N53', 'N116') [[18.899342]]
('N90', 'N213') [[18.894047]]
('N176', 'N235') [[18.893227]]
('N197', 'N203') [[18.888899]]
('N59', 'N233') [[18.88466]]
('N29', 'N190') [[18.880125]]
('N44', 'N53') [[18.879816]]
('N12', 'N75') [[18.878841]]
('N208', 'N223') [[18.876957]]
('N90', 'N158') [[18.868954]]
('N50', 'N169') [[18.868546]]
('N233', 'N252') [[18.866287]]
('N59', 'N223') [[18.865992]]
('N190', 'N208') [[18.864998]]
('N167', 'N223') [[18.862114]]
('N44', 'N65') [[18.860031]]
('N81', 'N243') [[18.857069]]
('N127', 'N140') [[18.856441]]
('N90', 'N197') [[18.856016]]
('N235', 'N243') [[18.85502]]
('N191', 'N223') [[18.854965]]
('N65', 'N140') [[18.85065]]
('N110', 'N152') [[18.850344]]
('N106', 'N223') [[18.846956]]
('N153', 'N223') [[18.846874]]
('N161', 'N169') [[18.846378]]
('N110', 'N235') [[18.844675]]
('N40', 'N69') [[18.843332]]
('N38', 'N148') [[18.831573]]
('N110', 'N150') [[18.83093]]
('N54', 'N140') [[18.829247]]
('N12', 'N59') [[18.828928]]
('N44', 'N252') [[18.828506]]
('N3', 'N208') [[18.827877]]
('N38', 'N53') [[18.827757]]
('N208', 'N247') [[18.827372]]
('N54', 'N248') [[18.82563]]
('N3', 'N153') [[18.825401]]
('N93', 'N215') [[18.824291]]
('N213', 'N247') [[18.821016]]
('N38', 'N102') [[18.817787]]
('N65', 'N218') [[18.817091]]
('N51', 'N139') [[18.816711]]
('N29', 'N53') [[18.815891]]
('N91', 'N111') [[18.81342]]
('N90', 'N230') [[18.812576]]
('N94', 'N97') [[18.811832]]
('N40', 'N53') [[18.811728]]
('N50', 'N69') [[18.809372]]
('N102', 'N158') [[18.808287]]
('N247', 'N251') [[18.807259]]
('N65', 'N69') [[18.803839]]
('N9', 'N223') [[18.802614]]
('N223', 'N224') [[18.802591]]
('N0', 'N252') [[18.802425]]
('N44', 'N247') [[18.799307]]
('N176', 'N215') [[18.79733]]
('N53', 'N111') [[18.7965]]
('N54', 'N150') [[18.796473]]
('N53', 'N180') [[18.79614]]
('N93', 'N111') [[18.794317]]
('N51', 'N230') [[18.793793]]
('N3', 'N221') [[18.792969]]
('N53', 'N176') [[18.791424]]
('N102', 'N221') [[18.791233]]
('N53', 'N75') [[18.790407]]
('N84', 'N244') [[18.789034]]
('N38', 'N252') [[18.787477]]
('N38', 'N140') [[18.784567]]
('N91', 'N247') [[18.783792]]
('N53', 'N253') [[18.782583]]
('N153', 'N211') [[18.782429]]
('N38', 'N51') [[18.781414]]
('N53', 'N221') [[18.780468]]
('N87', 'N90') [[18.77964]]
('N213', 'N221') [[18.77702]]
('N223', 'N248') [[18.77533]]
('N68', 'N223') [[18.775236]]
('N38', 'N208') [[18.773083]]
('N94', 'N208') [[18.771965]]
('N203', 'N221') [[18.771946]]
('N197', 'N233') [[18.771235]]
('N59', 'N97') [[18.771107]]
('N95', 'N206') [[18.770239]]
('N38', 'N233') [[18.770206]]
('N84', 'N153') [[18.76974]]
