('M0P1', 'M0P2') [[35.221146]]
('N190', 'N194') [[19.934872]]
('N67', 'N229') [[19.926403]]
('N67', 'N104') [[19.921]]
('N36', 'N194') [[19.89445]]
('N67', 'N236') [[19.825302]]
('N67', 'N109') [[19.567038]]
('N67', 'N158') [[19.565697]]
('N70', 'N131') [[19.56002]]
('N66', 'N229') [[19.557384]]
('N66', 'N236') [[19.554031]]
('N189', 'N190') [[19.538532]]
('N98', 'N232') [[19.517239]]
('N67', 'N176') [[19.505453]]
('N104', 'N125') [[19.486687]]
('N40', 'N67') [[19.476402]]
('N124', 'N229') [[19.465248]]
('N14', 'N104') [[19.447922]]
('N67', 'N247') [[19.445053]]
('N28', 'N67') [[19.428312]]
('N67', 'N235') [[19.408768]]
('N67', 'N115') [[19.398619]]
('N98', 'N103') [[19.391838]]
('N186', 'N229') [[19.370937]]
('N30', 'N66') [[19.370577]]
('N66', 'N67') [[19.363377]]
('N100', 'N229') [[19.35763]]
('N30', 'N100') [[19.35203]]
('N67', 'N105') [[19.350225]]
('N30', 'N36') [[19.349474]]
('N67', 'N159') [[19.341925]]
('N66', 'N190') [[19.341616]]
('N104', 'N105') [[19.34065]]
('N67', 'N98') [[19.328444]]
('N109', 'N227') [[19.321188]]
('N104', 'N159') [[19.320122]]
('N67', 'N246') [[19.309963]]
('N104', 'N115') [[19.301592]]
('N56', 'N134') [[19.301155]]
('N36', 'N121') [[19.296589]]
('N66', 'N194') [[19.292635]]
('N30', 'N161') [[19.290882]]
('N125', 'N222') [[19.284529]]
('N104', 'N150') [[19.282192]]
('N66', 'N109') [[19.27411]]
('N56', 'N67') [[19.27157]]
('N18', 'N67') [[19.263548]]
('N98', 'N229') [[19.255466]]
('N9', 'N67') [[19.255278]]
('N159', 'N229') [[19.254625]]
('N61', 'N246') [[19.251768]]
('N68', 'N98') [[19.238241]]
('N66', 'N172') [[19.233667]]
('N54', 'N66') [[19.231323]]
('N104', 'N246') [[19.226854]]
('N67', 'N217') [[19.216305]]
('N14', 'N194') [[19.206318]]
('N18', 'N194') [[19.204966]]
('N194', 'N236') [[19.19354]]
('N104', 'N252') [[19.193457]]
('N67', 'N234') [[19.193134]]
('N67', 'N153') [[19.192368]]
('N234', 'N246') [[19.191938]]
('N67', 'N151') [[19.17325]]
('N115', 'N232') [[19.172798]]
('N36', 'N138') [[19.163548]]
('N100', 'N206') [[19.162834]]
('N66', 'N115') [[19.1601]]
('N100', 'N236') [[19.159647]]
('N66', 'N100') [[19.159426]]
('N28', 'N104') [[19.15732]]
('N125', 'N181') [[19.155886]]
('N101', 'N194') [[19.146498]]
('N66', 'N98') [[19.144571]]
('N30', 'N124') [[19.144562]]
('N100', 'N140') [[19.139256]]
('N98', 'N227') [[19.137796]]
('N90', 'N236') [[19.136381]]
('N100', 'N133') [[19.136003]]
('N104', 'N161') [[19.13481]]
('N115', 'N237') [[19.133646]]
('N67', 'N136') [[19.130812]]
('N30', 'N59') [[19.128342]]
('N104', 'N247') [[19.127485]]
('N17', 'N229') [[19.1263]]
('N104', 'N174') [[19.122705]]
('N30', 'N236') [[19.119442]]
('N68', 'N194') [[19.116892]]
('N87', 'N98') [[19.115543]]
('N67', 'N228') [[19.11372]]
('N30', 'N105') [[19.111856]]
('N66', 'N189') [[19.106901]]
('N120', 'N229') [[19.093992]]
('N104', 'N190') [[19.084034]]
('N28', 'N244') [[19.082369]]
('N83', 'N105') [[19.081676]]
('N14', 'N190') [[19.077662]]
('N18', 'N36') [[19.073652]]
('N66', 'N86') [[19.065582]]
('N229', 'N236') [[19.062372]]
('N98', 'N104') [[19.058264]]
('N30', 'N46') [[19.057955]]
('N109', 'N229') [[19.056425]]
('N35', 'N66') [[19.055492]]
('N67', 'N68') [[19.049479]]
('N66', 'N83') [[19.049366]]
('N30', 'N194') [[19.048973]]
('N67', 'N222') [[19.047274]]
('N222', 'N236') [[19.047176]]
('N15', 'N161') [[19.04681]]
('N86', 'N249') [[19.044592]]
('N66', 'N104') [[19.041708]]
('N100', 'N105') [[19.041048]]
('N28', 'N217') [[19.037289]]
('N158', 'N229') [[19.036142]]
('N30', 'N246') [[19.033243]]
('N90', 'N186') [[19.032345]]
('N28', 'N232') [[19.031523]]
('N14', 'N67') [[19.031403]]
('N104', 'N134') [[19.025393]]
('N198', 'N229') [[19.024048]]
('N68', 'N208') [[19.023344]]
('N30', 'N153') [[19.020533]]
('N104', 'N249') [[19.018934]]
('N8', 'N67') [[19.016237]]
('N66', 'N158') [[19.015282]]
('N67', 'N194') [[19.013105]]
('N153', 'N174') [[19.0123]]
('N14', 'N105') [[19.012259]]
('N104', 'N232') [[19.01096]]
('N30', 'N104') [[19.007734]]
('N30', 'N174') [[19.007488]]
('N194', 'N249') [[19.006767]]
('N56', 'N198') [[19.005062]]
('N14', 'N98') [[19.0034]]
('N67', 'N87') [[19.002138]]
('N60', 'N66') [[19.001707]]
('N67', 'N190') [[18.999975]]
('N83', 'N189') [[18.998352]]
('N15', 'N190') [[18.992496]]
('N66', 'N247') [[18.989784]]
('N104', 'N229') [[18.988768]]
('N98', 'N145') [[18.986124]]
('N103', 'N194') [[18.985867]]
('N67', 'N72') [[18.98501]]
('N62', 'N196') [[18.98226]]
('N67', 'N90') [[18.980137]]
('N11', 'N67') [[18.979399]]
('N30', 'N73') [[18.977007]]
('N72', 'N153') [[18.9756]]
('N30', 'N56') [[18.973154]]
('N246', 'N247') [[18.972845]]
('N105', 'N153') [[18.972738]]
('N37', 'N229') [[18.972492]]
('N18', 'N210') [[18.972404]]
('N27', 'N67') [[18.972357]]
('N115', 'N247') [[18.968107]]
('N104', 'N217') [[18.96486]]
('N150', 'N161') [[18.964685]]
('N103', 'N134') [[18.964256]]
('N66', 'N141') [[18.96364]]
