('M0P1', 'M0P2') [[49.85249]]
('N106', 'M0P1') [[20.730652]]
('N106', 'M0P2') [[19.940346]]
('N106', 'N162') [[19.592197]]
('N77', 'M0P2') [[19.498278]]
('N77', 'M0P1') [[19.497278]]
('N162', 'M0P1') [[19.468893]]
('N51', 'N97') [[19.38797]]
('N106', 'N133') [[19.34137]]
('N25', 'N106') [[19.272541]]
('N97', 'N133') [[19.222738]]
('N106', 'N207') [[19.187693]]
('N106', 'N236') [[19.174835]]
('N87', 'N106') [[19.153183]]
('N119', 'N236') [[19.14856]]
('N106', 'N190') [[19.116121]]
('N106', 'N202') [[19.115433]]
('N162', 'M0P2') [[19.105425]]
('N55', 'N106') [[19.072618]]
('N97', 'N180') [[19.07234]]
('N55', 'N133') [[19.072277]]
('N49', 'N84') [[19.060307]]
('N106', 'N148') [[19.05597]]
('N43', 'N139') [[19.055481]]
('N8', 'N106') [[19.050117]]
('N191', 'N238') [[19.033161]]
('N77', 'N106') [[19.032305]]
('N8', 'N245') [[19.028648]]
('N180', 'N238') [[19.021074]]
('N221', 'N238') [[19.014547]]
('N61', 'N236') [[19.00476]]
('N121', 'N201') [[18.994032]]
('N103', 'N126') [[18.992016]]
('N103', 'N180') [[18.987602]]
('N51', 'N133') [[18.980097]]
('N51', 'N190') [[18.978827]]
('N84', 'N97') [[18.955564]]
('N190', 'N236') [[18.93587]]
('N43', 'N144') [[18.931858]]
('N84', 'N108') [[18.927437]]
('N106', 'N181') [[18.926573]]
('N43', 'N202') [[18.925558]]
('N207', 'N251') [[18.924755]]
('N49', 'N97') [[18.916752]]
('N51', 'N180') [[18.913063]]
('N106', 'N251') [[18.908974]]
('N106', 'N187') [[18.90536]]
('N106', 'N209') [[18.901817]]
('N84', 'N106') [[18.898502]]
('N8', 'N162') [[18.89815]]
('N27', 'N118') [[18.891691]]
('N43', 'N103') [[18.889153]]
('N43', 'N190') [[18.888002]]
('N68', 'N121') [[18.885584]]
('N49', 'N236') [[18.879862]]
('N97', 'N195') [[18.876606]]
('N97', 'N253') [[18.876556]]
('N69', 'N191') [[18.87619]]
('N4', 'N24') [[18.874855]]
('N55', 'N238') [[18.874838]]
('N43', 'N121') [[18.873604]]
('N55', 'N84') [[18.868793]]
('N103', 'N221') [[18.86372]]
('N87', 'N121') [[18.862858]]
('N201', 'N243') [[18.860487]]
('N115', 'N243') [[18.85921]]
('N94', 'N201') [[18.85827]]
('N51', 'N219') [[18.85749]]
('N76', 'N106') [[18.857328]]
('N24', 'N97') [[18.848568]]
('N52', 'N106') [[18.847788]]
('N94', 'N106') [[18.845665]]
('N103', 'N199') [[18.840874]]
('N43', 'N106') [[18.833513]]
('N181', 'N243') [[18.83277]]
('N119', 'N191') [[18.83022]]
('N106', 'N126') [[18.83015]]
('N97', 'N205') [[18.826378]]
('N27', 'N115') [[18.824938]]
('N51', 'N55') [[18.824917]]
('N191', 'N251') [[18.823822]]
('N103', 'N229') [[18.81564]]
('N53', 'N106') [[18.807615]]
('N34', 'N202') [[18.804625]]
('N243', 'N251') [[18.798866]]
('N97', 'N238') [[18.790527]]
('N43', 'N232') [[18.79036]]
('N179', 'N190') [[18.782675]]
('N106', 'N194') [[18.779507]]
('N6', 'N191') [[18.771112]]
('N61', 'N119') [[18.765358]]
('N180', 'N201') [[18.763369]]
('N51', 'N253') [[18.76074]]
('N84', 'N133') [[18.759964]]
('N97', 'N138') [[18.757492]]
('N139', 'N191') [[18.753489]]
('N106', 'N132') [[18.752956]]
('N191', 'N201') [[18.74617]]
('N195', 'N236') [[18.74476]]
('N180', 'N191') [[18.740578]]
('N49', 'N94') [[18.738356]]
('N238', 'N251') [[18.737026]]
('N139', 'N162') [[18.736464]]
('N106', 'N152') [[18.735073]]
('N2', 'N238') [[18.731083]]
('N115', 'N244') [[18.72881]]
('N27', 'N243') [[18.728563]]
('N51', 'N106') [[18.726318]]
('N97', 'N149') [[18.725075]]
('N27', 'N77') [[18.723038]]
('N8', 'N249') [[18.720867]]
('N97', 'N243') [[18.720026]]
('N97', 'N103') [[18.717497]]
('N142', 'N202') [[18.717182]]
('N72', 'N115') [[18.716446]]
('N6', 'N121') [[18.711481]]
('N121', 'N191') [[18.711027]]
('N125', 'N181') [[18.710876]]
('N236', 'M0P1') [[18.710705]]
('N49', 'N243') [[18.704374]]
('N180', 'N221') [[18.704105]]
('N97', 'N202') [[18.703196]]
('N97', 'N219') [[18.703186]]
('N51', 'N162') [[18.70086]]
('N6', 'N202') [[18.699448]]
('N106', 'N183') [[18.698338]]
('N76', 'N201') [[18.696997]]
('N76', 'N84') [[18.696125]]
('N232', 'N249') [[18.692764]]
('N236', 'N243') [[18.692448]]
('N27', 'N245') [[18.690418]]
('N27', 'N106') [[18.6898]]
('N0', 'N195') [[18.682522]]
('N20', 'N190') [[18.682219]]
('N181', 'N196') [[18.681242]]
('N119', 'M0P1') [[18.678795]]
('N115', 'N236') [[18.677677]]
('N124', 'N236') [[18.676908]]
('N190', 'N221') [[18.674263]]
('N28', 'N243') [[18.669237]]
('N43', 'N195') [[18.66723]]
('N133', 'N232') [[18.664581]]
('N52', 'N243') [[18.664385]]
('N115', 'N190') [[18.6639]]
('N8', 'N246') [[18.659796]]
('N190', 'N251') [[18.657457]]
('N162', 'N202') [[18.656948]]
('N6', 'N205') [[18.655066]]
('N55', 'N97') [[18.654625]]
('N0', 'N238') [[18.653852]]
('N103', 'N213') [[18.653791]]
('N103', 'N106') [[18.652132]]
('N97', 'N99') [[18.650059]]
('N0', 'N180') [[18.648129]]
('N142', 'N201') [[18.647757]]
('N112', 'N243') [[18.647486]]
('N27', 'N236') [[18.646677]]
('N221', 'N245') [[18.646317]]
('N119', 'N197') [[18.645933]]
('N6', 'N238') [[18.644014]]
('N121', 'N237') [[18.64277]]
('N6', 'N106') [[18.642536]]
('N219', 'N243') [[18.639454]]
('N199', 'N251') [[18.636597]]
('N8', 'N27') [[18.629827]]
('N148', 'N251') [[18.628359]]
('N97', 'N161') [[18.628046]]
('N221', 'N243') [[18.6269]]
('N115', 'N191') [[18.626745]]
('N55', 'N251') [[18.622599]]
('N106', 'N243') [[18.62257]]
('N0', 'N106') [[18.622143]]
('N103', 'N207') [[18.617971]]
('N201', 'N205') [[18.61719]]
('N124', 'N202') [[18.616972]]
('N235', 'N236') [[18.616047]]
('N55', 'N76') [[18.615294]]
('N76', 'N232') [[18.6121]]
('N13', 'N201') [[18.610296]]
