('M0P1', 'M0P2') [[46.73354]]
('N253', 'M0P2') [[21.449627]]
('N125', 'M0P2') [[20.973501]]
('N253', 'M0P1') [[20.657757]]
('N163', 'M0P2') [[20.556437]]
('N163', 'M0P1') [[20.180729]]
('N132', 'M0P2') [[20.064987]]
('N132', 'N163') [[20.039751]]
('N169', 'M0P1') [[20.027803]]
('N211', 'M0P2') [[19.973734]]
('N125', 'M0P1') [[19.926018]]
('N127', 'M0P2') [[19.855623]]
('N108', 'M0P2') [[19.8033]]
('N43', 'M0P2') [[19.783657]]
('N125', 'N199') [[19.75147]]
('N175', 'M0P2') [[19.74616]]
('N60', 'N125') [[19.743546]]
('N177', 'M0P2') [[19.733606]]
('N125', 'N196') [[19.717684]]
('N24', 'N163') [[19.71485]]
('N145', 'M0P1') [[19.700342]]
('N132', 'N169') [[19.691305]]
('N79', 'N239') [[19.68736]]
('N12', 'N102') [[19.659649]]
('N199', 'M0P2') [[19.651134]]
('N169', 'M0P2') [[19.650042]]
('N125', 'N178') [[19.642214]]
('N127', 'M0P1') [[19.63339]]
('N107', 'N239') [[19.631771]]
('N10', 'N112') [[19.627686]]
('N182', 'M0P2') [[19.620243]]
('N50', 'N125') [[19.61288]]
('N175', 'N239') [[19.604082]]
('N121', 'N125') [[19.594103]]
('N112', 'N239') [[19.589937]]
('N160', 'M0P2') [[19.585815]]
('N107', 'N178') [[19.581942]]
('N178', 'M0P2') [[19.542747]]
('N145', 'M0P2') [[19.532524]]
('N218', 'M0P2') [[19.506908]]
('N237', 'M0P2') [[19.506163]]
('N125', 'N202') [[19.504534]]
('N24', 'N239') [[19.502525]]
('N24', 'N96') [[19.497993]]
('N163', 'N175') [[19.496342]]
('N43', 'N253') [[19.484106]]
('N107', 'M0P2') [[19.483318]]
('N196', 'M0P2') [[19.474524]]
('N107', 'N199') [[19.470963]]
('N67', 'M0P2') [[19.466284]]
('N60', 'N150') [[19.456232]]
('N49', 'N125') [[19.456034]]
('N24', 'N148') [[19.449333]]
('N132', 'N160') [[19.435677]]
('N175', 'M0P1') [[19.424187]]
('N47', 'N169') [[19.406347]]
('N24', 'N199') [[19.405706]]
('N108', 'N150') [[19.401396]]
('N107', 'N205') [[19.393532]]
('N125', 'N163') [[19.393522]]
('N178', 'N239') [[19.384058]]
('N163', 'N196') [[19.38245]]
('N182', 'M0P1') [[19.371424]]
('N45', 'N150') [[19.371254]]
('N49', 'N239') [[19.354195]]
('N24', 'N160') [[19.354103]]
('N148', 'N186') [[19.349918]]
('N32', 'N160') [[19.348743]]
('N48', 'N150') [[19.34639]]
('N81', 'N169') [[19.333164]]
('N150', 'N239') [[19.330177]]
('N24', 'N107') [[19.325153]]
('N96', 'N239') [[19.324596]]
