('M0P1', 'M0P2') [[38.6604]]
('N23', 'N200') [[19.620321]]
('N55', 'N214') [[19.296288]]
('N196', 'N231') [[19.294426]]
('N165', 'N188') [[19.221224]]
('N23', 'N216') [[19.187845]]
('N23', 'N62') [[19.1222]]
('N113', 'N231') [[19.114185]]
('N63', 'N216') [[19.103563]]
('N53', 'N188') [[19.0827]]
('N62', 'N231') [[19.058985]]
('N79', 'N196') [[19.046843]]
('N144', 'N188') [[19.045998]]
('N63', 'N245') [[19.026972]]
('N66', 'N214') [[19.016779]]
('N231', 'N245') [[19.008574]]
('N220', 'N250') [[19.005583]]
('N33', 'N67') [[18.99102]]
('N143', 'N231') [[18.976051]]
('N112', 'N229') [[18.97346]]
('N174', 'N231') [[18.965055]]
('N188', 'N245') [[18.962646]]
('N62', 'N229') [[18.953806]]
('N182', 'N188') [[18.950182]]
('N67', 'N216') [[18.941042]]
('N231', 'N247') [[18.937185]]
('N45', 'N62') [[18.933046]]
('N200', 'N216') [[18.92176]]
('N242', 'N245') [[18.91846]]
('N62', 'N216') [[18.910612]]
('N23', 'N63') [[18.895348]]
('N9', 'N242') [[18.89293]]
('N4', 'N214') [[18.887602]]
('N0', 'N229') [[18.884787]]
('N229', 'N231') [[18.882837]]
('N92', 'N195') [[18.882816]]
('N9', 'N216') [[18.880173]]
('N86', 'N245') [[18.87931]]
('N54', 'N138') [[18.878872]]
('N193', 'N231') [[18.87403]]
('N23', 'N245') [[18.86773]]
('N158', 'N245') [[18.865162]]
('N144', 'N165') [[18.859772]]
('N45', 'N242') [[18.854385]]
('N165', 'N229') [[18.851908]]
('N144', 'N186') [[18.838764]]
('N200', 'N229') [[18.836664]]
('N23', 'N222') [[18.835655]]
('N56', 'N63') [[18.829062]]
('N13', 'N214') [[18.828867]]
('N13', 'N216') [[18.82278]]
('N79', 'N163') [[18.819298]]
('N183', 'N245') [[18.814398]]
('N63', 'N200') [[18.811747]]
('N56', 'N245') [[18.807108]]
('N56', 'N215') [[18.804594]]
('N62', 'N165') [[18.79971]]
('N220', 'N243') [[18.788452]]
('N37', 'N214') [[18.786957]]
('N56', 'N231') [[18.786444]]
('N188', 'N200') [[18.784607]]
('N229', 'N241') [[18.783028]]
('N242', 'N246') [[18.782682]]
('N9', 'N243') [[18.779638]]
('N55', 'N79') [[18.779299]]
('N23', 'N218') [[18.774408]]
('N9', 'N200') [[18.7742]]
('N186', 'N242') [[18.77296]]
('N79', 'N245') [[18.768784]]
('N222', 'N243') [[18.764835]]
('N79', 'N231') [[18.76145]]
('N144', 'N214') [[18.76007]]
('N56', 'N229') [[18.757408]]
('N222', 'N245') [[18.75657]]
('N183', 'N188') [[18.752468]]
('N22', 'N245') [[18.75179]]
('N79', 'N144') [[18.751667]]
('N66', 'N231') [[18.751652]]
('N143', 'N200') [[18.748245]]
('N231', 'N242') [[18.7451]]
('N79', 'N188') [[18.744825]]
('N62', 'N195') [[18.735126]]
('N167', 'N245') [[18.734858]]
('N62', 'N200') [[18.72659]]
('N23', 'N56') [[18.719412]]
('N27', 'N144') [[18.719166]]
('N62', 'N247') [[18.716583]]
('N165', 'N214') [[18.715467]]
('N181', 'N245') [[18.712362]]
('N163', 'N198') [[18.704878]]
('N70', 'N105') [[18.70426]]
('N23', 'N214') [[18.699032]]
('N37', 'N66') [[18.69698]]
('N21', 'N245') [[18.695591]]
('N70', 'N242') [[18.690027]]
('N9', 'N245') [[18.688763]]
('N63', 'N208') [[18.686708]]
('N9', 'N220') [[18.686089]]
('N70', 'N188') [[18.684788]]
('N245', 'N250') [[18.6844]]
('N12', 'N37') [[18.679163]]
('N125', 'N200') [[18.678568]]
('N84', 'N245') [[18.67525]]
('N24', 'N245') [[18.674238]]
('N222', 'N231') [[18.673918]]
('N216', 'N222') [[18.671572]]
('N9', 'N234') [[18.668694]]
('N219', 'M0P2') [[18.661469]]
('N13', 'N62') [[18.659914]]
('N231', 'N243') [[18.658699]]
('N200', 'N214') [[18.656809]]
('N53', 'N165') [[18.655098]]
('N165', 'N182') [[18.65438]]
('N188', 'N196') [[18.652636]]
('N186', 'N231') [[18.652182]]
('N182', 'N200') [[18.651299]]
('N230', 'N245') [[18.651258]]
('N63', 'N215') [[18.650867]]
('N23', 'N84') [[18.65006]]
('N70', 'N245') [[18.649872]]
('N202', 'N245') [[18.646725]]
('N202', 'N231') [[18.643188]]
('N57', 'N214') [[18.641092]]
('N27', 'N57') [[18.640284]]
('N105', 'N229') [[18.63981]]
('N61', 'N245') [[18.63933]]
('N220', 'N229') [[18.636013]]
('N0', 'N154') [[18.635773]]
('N163', 'N250') [[18.635687]]
('N33', 'N243') [[18.633429]]
('N200', 'N222') [[18.632248]]
('N70', 'N163') [[18.630714]]
('N105', 'N200') [[18.630428]]
('N33', 'N222') [[18.630201]]
('N141', 'N220') [[18.630045]]
('N156', 'N214') [[18.62706]]
('N33', 'N220') [[18.626036]]
('N60', 'N242') [[18.624994]]
('N23', 'N250') [[18.623549]]
('N165', 'N231') [[18.621937]]
('N98', 'N163') [[18.620144]]
('N198', 'N245') [[18.615177]]
('N179', 'N222') [[18.61145]]
('N63', 'N250') [[18.611109]]
('N9', 'N158') [[18.610294]]
('N156', 'N245') [[18.609625]]
('N4', 'N245') [[18.609026]]
('N79', 'N200') [[18.608673]]
('N55', 'N139') [[18.607195]]
('N163', 'N222') [[18.606852]]
('N9', 'N229') [[18.606474]]
('N222', 'N229') [[18.604475]]
('N195', 'N231') [[18.603758]]
('N167', 'N220') [[18.602808]]
('N188', 'N220') [[18.602415]]
('N7', 'N115') [[18.60208]]
('N66', 'N99') [[18.601158]]
('N62', 'N215') [[18.598572]]
('N225', 'N245') [[18.595894]]
('N62', 'N182') [[18.595829]]
('N19', 'N79') [[18.59324]]
('N9', 'N23') [[18.591522]]
('N56', 'N182') [[18.589268]]
('N196', 'N229') [[18.589224]]
('N242', 'N243') [[18.58892]]
('N230', 'N231') [[18.588392]]
('N23', 'N113') [[18.583134]]
('N84', 'N216') [[18.58295]]
('N91', 'N167') [[18.58125]]
('N116', 'N245') [[18.581001]]
('N37', 'N167') [[18.57934]]
('N2', 'N63') [[18.57892]]
('N99', 'N174') [[18.578232]]
('N235', 'N246') [[18.577993]]
('N9', 'N231') [[18.577662]]
('N215', 'N245') [[18.577246]]
('N67', 'N214') [[18.575386]]
('N105', 'N215') [[18.573212]]
('N23', 'N55') [[18.572992]]
('N9', 'N112') [[18.572699]]
('N79', 'N214') [[18.572258]]
('N183', 'N214') [[18.57132]]
('N144', 'N167') [[18.567423]]
('N62', 'N174') [[18.56644]]
('N103', 'N188') [[18.565224]]
('N12', 'N186') [[18.563398]]
('N9', 'N27') [[18.562569]]
('N200', 'N218') [[18.561962]]
('N188', 'N229') [[18.561773]]
('N23', 'N195') [[18.56174]]
('N167', 'N188') [[18.560495]]
('N79', 'N110') [[18.559383]]
('N31', 'N231') [[18.559113]]
('N188', 'N231') [[18.558643]]
('N27', 'N186') [[18.558447]]
('N9', 'N24') [[18.55552]]
('N188', 'N195') [[18.55296]]
('N63', 'N231') [[18.552849]]
('N62', 'N245') [[18.55237]]
('N200', 'N249') [[18.55164]]
('N214', 'N243') [[18.549587]]
('N141', 'N243') [[18.548655]]
('N9', 'N188') [[18.548336]]
('N141', 'N245') [[18.548145]]
('N163', 'N245') [[18.547768]]
('N188', 'N214') [[18.54686]]
('N23', 'N155') [[18.546286]]
('N4', 'N89') [[18.54358]]
('N55', 'N99') [[18.543505]]
('N9', 'N122') [[18.543438]]
('N220', 'N222') [[18.542902]]
('N80', 'N188') [[18.541273]]
('N25', 'N144') [[18.540167]]
('N141', 'N222') [[18.537745]]
('N167', 'N214') [[18.536987]]
('N210', 'N243') [[18.534115]]
('N219', 'M0P1') [[18.531757]]
('N13', 'N218') [[18.531733]]
('N125', 'N245') [[18.531406]]
('N79', 'N158') [[18.530603]]
('N25', 'N63') [[18.530548]]
('N23', 'N202') [[18.530512]]
('N196', 'N200') [[18.529375]]
('N0', 'N231') [[18.527807]]
('N141', 'N214') [[18.52691]]
('N0', 'M0P2') [[18.524319]]
