('M0P1', 'M0P2') [[44.469196]]
('N251', 'M0P1') [[19.715021]]
('N251', 'M0P2') [[19.62293]]
('N66', 'N180') [[19.566328]]
('N7', 'N158') [[19.529799]]
('N145', 'N158') [[19.500078]]
('N53', 'N148') [[19.498545]]
('N25', 'N115') [[19.448057]]
('N154', 'N180') [[19.445326]]
('N158', 'N196') [[19.41221]]
('N148', 'N162') [[19.402859]]
('N148', 'N251') [[19.384638]]
('N115', 'N196') [[19.327913]]
('N31', 'N66') [[19.314796]]
('N22', 'N220') [[19.311232]]
('N35', 'N66') [[19.302837]]
('N31', 'N238') [[19.283989]]
('N115', 'N180') [[19.269997]]
('N169', 'N196') [[19.26262]]
('N115', 'N158') [[19.260069]]
('N53', 'N180') [[19.257967]]
('N66', 'N251') [[19.257048]]
('N35', 'N105') [[19.247892]]
('N19', 'N165') [[19.228823]]
('N158', 'N162') [[19.216295]]
('N149', 'N154') [[19.207697]]
('N152', 'N162') [[19.202919]]
('N66', 'N154') [[19.176968]]
('N66', 'N158') [[19.16008]]
('N25', 'N196') [[19.159792]]
('N35', 'N44') [[19.151445]]
('N7', 'N196') [[19.14869]]
('N183', 'N240') [[19.14195]]
('N25', 'N238') [[19.139727]]
('N222', 'N238') [[19.135555]]
('N105', 'N162') [[19.130873]]
('N7', 'N121') [[19.129364]]
('N7', 'N22') [[19.127808]]
('N148', 'N180') [[19.126652]]
('N105', 'N238') [[19.12569]]
('N0', 'N180') [[19.12394]]
('N66', 'N113') [[19.12263]]
('N1', 'N7') [[19.12101]]
('N12', 'N238') [[19.120802]]
('N180', 'N251') [[19.120127]]
('N154', 'N162') [[19.117607]]
('N53', 'N66') [[19.10972]]
('N66', 'N148') [[19.104328]]
('N65', 'N158') [[19.103558]]
('N7', 'N162') [[19.10185]]
('N45', 'N162') [[19.100334]]
('N148', 'N154') [[19.09702]]
('N31', 'N203') [[19.095345]]
('N148', 'N234') [[19.09505]]
('N105', 'N158') [[19.085896]]
('N29', 'N196') [[19.079147]]
('N162', 'N201') [[19.077766]]
('N158', 'N240') [[19.077187]]
('N180', 'N238') [[19.07372]]
('N36', 'N145') [[19.061087]]
('N149', 'N238') [[19.058487]]
('N61', 'N68') [[19.057714]]
('N14', 'N61') [[19.053642]]
('N90', 'N238') [[19.04718]]
('N152', 'N189') [[19.04627]]
('N154', 'N203') [[19.043795]]
('N22', 'N180') [[19.034307]]
('N35', 'N83') [[19.033325]]
('N180', 'N203') [[19.032969]]
('N30', 'N238') [[19.032444]]
('N7', 'N148') [[19.029434]]
('N165', 'N248') [[19.028488]]
('N64', 'N238') [[19.027504]]
('N112', 'N158') [[19.024471]]
('N94', 'N158') [[19.024122]]
('N180', 'N246') [[19.022425]]
('N154', 'N220') [[19.01795]]
('N25', 'N148') [[18.998835]]
('N70', 'N158') [[18.997934]]
('N162', 'N196') [[18.995996]]
('N165', 'N180') [[18.995625]]
('N0', 'N165') [[18.995134]]
('N180', 'N201') [[18.993963]]
('N66', 'N81') [[18.992392]]
('N61', 'N66') [[18.990833]]
('N105', 'N183') [[18.988924]]
('N14', 'N35') [[18.983873]]
('N112', 'N238') [[18.982882]]
('N152', 'N196') [[18.98216]]
('N148', 'N238') [[18.975811]]
('N64', 'N141') [[18.973354]]
('N158', 'N169') [[18.970497]]
('N5', 'N109') [[18.967606]]
('N35', 'N196') [[18.966743]]
('N115', 'N165') [[18.966671]]
('N154', 'N159') [[18.960775]]
('N180', 'N211') [[18.960579]]
('N7', 'N229') [[18.958818]]
('N1', 'N127') [[18.95817]]
('N234', 'N251') [[18.956131]]
('N47', 'N158') [[18.954311]]
('N53', 'N154') [[18.951406]]
('N152', 'N180') [[18.95011]]
('N115', 'N152') [[18.947811]]
('N15', 'N162') [[18.944721]]
('N180', 'N195') [[18.944605]]
('N154', 'M0P1') [[18.943045]]
('N14', 'N66') [[18.942205]]
('N180', 'N196') [[18.940262]]
('N35', 'N115') [[18.93841]]
('N149', 'N196') [[18.938406]]
('N124', 'N165') [[18.93085]]
('N25', 'N162') [[18.930222]]
('N35', 'N64') [[18.92895]]
('N31', 'N180') [[18.928373]]
('N35', 'N92') [[18.926493]]
('N70', 'N162') [[18.920036]]
('N35', 'N199') [[18.919853]]
('N15', 'N247') [[18.919468]]
('N66', 'N162') [[18.918617]]
('N53', 'N238') [[18.916462]]
('N53', 'N80') [[18.916218]]
('N31', 'N158') [[18.91611]]
('N25', 'N35') [[18.91354]]
('N60', 'N196') [[18.913475]]
('N7', 'N66') [[18.909273]]
('N176', 'N180') [[18.90767]]
('N14', 'N165') [[18.904827]]
('N116', 'N247') [[18.904604]]
('N158', 'N238') [[18.902576]]
('N25', 'N141') [[18.897663]]
('N105', 'N196') [[18.8966]]
('N103', 'N162') [[18.892183]]
('N106', 'N148') [[18.8914]]
('N158', 'N178') [[18.890379]]
('N154', 'N178') [[18.880468]]
('N31', 'N201') [[18.876848]]
('N54', 'N66') [[18.876804]]
('N36', 'N165') [[18.875927]]
('N47', 'N162') [[18.875017]]
('N58', 'N251') [[18.874378]]
('N247', 'N251') [[18.869509]]
('N105', 'N194') [[18.8691]]
('N7', 'N53') [[18.867302]]
('N127', 'N196') [[18.865824]]
('N180', 'N183') [[18.865532]]
('N196', 'N199') [[18.86067]]
('N61', 'N165') [[18.85899]]
('N162', 'N169') [[18.858173]]
('N61', 'N196') [[18.857403]]
('N105', 'N148') [[18.854723]]
('N108', 'N148') [[18.85426]]
('N158', 'N234') [[18.85283]]
('N66', 'N136') [[18.852413]]
('N115', 'N227') [[18.848507]]
('N35', 'N183') [[18.848272]]
('N22', 'N169') [[18.846544]]
('N22', 'N148') [[18.845974]]
('N25', 'N220') [[18.843836]]
('N159', 'N162') [[18.84355]]
('N83', 'N219') [[18.843348]]
('N154', 'N251') [[18.842714]]
('N66', 'N201') [[18.84162]]
('N14', 'N158') [[18.84036]]
('N34', 'N196') [[18.8372]]
('N154', 'N191') [[18.836962]]
('N53', 'N61') [[18.83617]]
('N148', 'N213') [[18.833946]]
('N154', 'N165') [[18.833935]]
('N158', 'N208') [[18.83076]]
('N191', 'N247') [[18.830275]]
('N53', 'N248') [[18.82925]]
('N106', 'N178') [[18.828844]]
('N127', 'N154') [[18.827816]]
('N25', 'N108') [[18.827333]]
('N92', 'N162') [[18.825584]]
('N127', 'N241') [[18.824484]]
('N180', 'N220') [[18.823427]]
('N148', 'N240') [[18.821693]]
('N154', 'N195') [[18.820566]]
('N106', 'N112') [[18.816698]]
('N148', 'N248') [[18.814552]]
