('M0P1', 'M0P2') [[20.868748]]
('N71', 'N119') [[20.159868]]
('N119', 'N206') [[20.127262]]
('N113', 'N115') [[19.934757]]
('N122', 'N206') [[19.92791]]
('N119', 'N122') [[19.85342]]
('N14', 'N119') [[19.7612]]
('N6', 'N187') [[19.739819]]
('N14', 'N68') [[19.731176]]
('N113', 'N206') [[19.707705]]
('N6', 'N41') [[19.699196]]
('N117', 'N122') [[19.68349]]
('N58', 'N94') [[19.680279]]
('N14', 'N187') [[19.679617]]
('N28', 'N113') [[19.639265]]
('N41', 'N161') [[19.612988]]
('N6', 'N107') [[19.612988]]
('N58', 'N182') [[19.574583]]
('N14', 'N28') [[19.565783]]
('N6', 'N145') [[19.553486]]
('N109', 'N207') [[19.532715]]
('N6', 'M0P1') [[19.528397]]
('N94', 'N113') [[19.52458]]
('N94', 'N206') [[19.511225]]
('N8', 'N68') [[19.490496]]
('N206', 'N229') [[19.490288]]
('N14', 'N205') [[19.480274]]
('N186', 'N206') [[19.4699]]
('N94', 'N122') [[19.46905]]
('N117', 'N186') [[19.467587]]
('N122', 'N252') [[19.461319]]
('N94', 'N144') [[19.459444]]
('N6', 'N161') [[19.453138]]
('N14', 'N58') [[19.45216]]
('N119', 'N205') [[19.426046]]
('N206', 'N252') [[19.423656]]
('N58', 'N246') [[19.422773]]
('N109', 'N113') [[19.422249]]
('N14', 'N150') [[19.415464]]
('N186', 'N201') [[19.390018]]
('N60', 'N71') [[19.384996]]
('N119', 'N234') [[19.383467]]
('N6', 'N30') [[19.383268]]
('N58', 'N201') [[19.38275]]
('N186', 'N207') [[19.376776]]
('N25', 'N113') [[19.37512]]
('N40', 'N68') [[19.374767]]
('N109', 'M0P2') [[19.37062]]
('N116', 'N187') [[19.36548]]
('N122', 'N161') [[19.344376]]
('N73', 'N113') [[19.340897]]
('N52', 'N184') [[19.337486]]
('N52', 'N113') [[19.334309]]
('N16', 'N58') [[19.332056]]
('N28', 'N52') [[19.33087]]
('N34', 'N119') [[19.316612]]
('N14', 'N165') [[19.314411]]
('N58', 'N154') [[19.30705]]
('N6', 'N122') [[19.306204]]
('N94', 'N182') [[19.301064]]
('N72', 'N113') [[19.299389]]
('N6', 'N202') [[19.294132]]
('N6', 'N58') [[19.292686]]
('N182', 'N206') [[19.286837]]
('N109', 'N206') [[19.285145]]
