('M0P1', 'M0P2') [[20.287308]]
('N33', 'M0P2') [[15.436947]]
('N122', 'N136') [[15.222399]]
('N146', 'M0P2') [[15.214489]]
('N136', 'M0P2') [[15.198704]]
('N136', 'N173') [[15.142733]]
('N129', 'M0P2') [[15.096702]]
('N136', 'M0P1') [[15.030684]]
('N13', 'N132') [[14.985912]]
('N53', 'N136') [[14.979872]]
('N158', 'N173') [[14.977008]]
('N132', 'N136') [[14.911247]]
('N33', 'N213') [[14.906427]]
('N88', 'M0P2') [[14.895232]]
('N16', 'M0P2') [[14.893831]]
('N246', 'M0P2') [[14.889558]]
('N33', 'N148') [[14.862905]]
('N241', 'N248') [[14.829769]]
('N129', 'N136') [[14.82468]]
('N33', 'N177') [[14.81762]]
('N136', 'N158') [[14.797865]]
('N13', 'N173') [[14.759819]]
('N33', 'N159') [[14.75607]]
('N31', 'M0P2') [[14.751549]]
('N33', 'N136') [[14.746496]]
('N12', 'N136') [[14.738461]]
('N136', 'N183') [[14.726034]]
('N36', 'N136') [[14.708134]]
('N136', 'N139') [[14.693727]]
('N60', 'N136') [[14.6918955]]
('N13', 'N136') [[14.6728945]]
('N88', 'N126') [[14.668112]]
('N16', 'N136') [[14.664469]]
('N132', 'N158') [[14.652822]]
('N13', 'N152') [[14.637965]]
('N33', 'N88') [[14.636397]]
('N127', 'N159') [[14.617894]]
('N183', 'M0P2') [[14.612319]]
('N88', 'M0P1') [[14.590375]]
('N124', 'N252') [[14.58884]]
('N33', 'N128') [[14.58807]]
('N18', 'M0P2') [[14.583526]]
('N136', 'N190') [[14.576177]]
('N33', 'N139') [[14.574165]]
('N13', 'N158') [[14.574003]]
('N122', 'M0P2') [[14.568915]]
('N6', 'M0P2') [[14.56153]]
('N0', 'N213') [[14.556009]]
('N129', 'M0P1') [[14.55469]]
('N33', 'N122') [[14.530646]]
('N33', 'N66') [[14.513301]]
('N132', 'N173') [[14.501339]]
('N53', 'N88') [[14.496947]]
('N33', 'N220') [[14.496079]]
('N88', 'N177') [[14.495531]]
('N88', 'N213') [[14.486304]]
('N18', 'N129') [[14.479792]]
('N136', 'N185') [[14.475477]]
('N31', 'N58') [[14.473845]]
('N173', 'N177') [[14.46314]]
('N64', 'N173') [[14.459695]]
