('M0P1', 'M0P2') [[20.413834]]
('N161', 'M0P1') [[14.939983]]
('N238', 'M0P1') [[14.917803]]
('N201', 'M0P1') [[14.914214]]
('N161', 'N211') [[14.856408]]
('N122', 'M0P2') [[14.836929]]
('N65', 'M0P1') [[14.833721]]
('N28', 'M0P2') [[14.806662]]
('N218', 'M0P1') [[14.756367]]
('N191', 'N252') [[14.738706]]
('N51', 'M0P2') [[14.737806]]
('N51', 'M0P1') [[14.713569]]
('N116', 'N191') [[14.701612]]
('N96', 'N161') [[14.697479]]
('N29', 'N249') [[14.686386]]
('N33', 'N193') [[14.685595]]
('N65', 'N252') [[14.681025]]
('N238', 'N252') [[14.664381]]
('N249', 'M0P2') [[14.656488]]
('N161', 'N191') [[14.638653]]
('N161', 'N240') [[14.63385]]
('N163', 'M0P1') [[14.632264]]
('N48', 'M0P1') [[14.632246]]
('N201', 'N238') [[14.620261]]
('N65', 'N165') [[14.615434]]
('N96', 'M0P2') [[14.602163]]
('N37', 'N65') [[14.587809]]
('N192', 'M0P1') [[14.587188]]
('N138', 'N161') [[14.581998]]
('N161', 'M0P2') [[14.579103]]
('N155', 'M0P2') [[14.573692]]
('N107', 'M0P2') [[14.572472]]
('N160', 'N218') [[14.563917]]
('N157', 'N161') [[14.557779]]
('N65', 'N248') [[14.55637]]
('N241', 'M0P2') [[14.546076]]
('N45', 'N65') [[14.54472]]
('N188', 'M0P2') [[14.541157]]
('N6', 'N191') [[14.535748]]
('N153', 'N165') [[14.530896]]
('N116', 'N139') [[14.530364]]
('N60', 'N160') [[14.529208]]
('N161', 'N233') [[14.528268]]
('N30', 'N65') [[14.526546]]
('N238', 'M0P2') [[14.525985]]
('N65', 'N191') [[14.516095]]
('N116', 'N238') [[14.511815]]
('N44', 'N161') [[14.5087595]]
('N161', 'N165') [[14.506688]]
('N155', 'N165') [[14.497887]]
('N123', 'N165') [[14.491612]]
('N191', 'N214') [[14.489038]]
('N129', 'N161') [[14.478509]]
('N144', 'N161') [[14.471099]]
('N87', 'N191') [[14.470648]]
('N5', 'N65') [[14.469812]]
('N71', 'N165') [[14.468762]]
('N129', 'M0P2') [[14.466235]]
('N161', 'N217') [[14.463942]]
('N123', 'N161') [[14.462043]]
('N115', 'N138') [[14.46051]]
('N138', 'N252') [[14.458801]]
('N170', 'M0P1') [[14.454818]]
('N85', 'N211') [[14.448336]]
('N106', 'N161') [[14.445042]]
('N6', 'N211') [[14.440662]]
