('M0P1', 'M0P2') [[33.481827]]
('N102', 'N229') [[19.571917]]
('N192', 'N218') [[19.484531]]
('N215', 'N218') [[19.240366]]
('N4', 'N133') [[19.206272]]
('N4', 'N171') [[19.149681]]
('N175', 'N200') [[19.13809]]
('N192', 'N215') [[19.112572]]
('N4', 'N229') [[19.099531]]
('N45', 'N171') [[19.05463]]
('N192', 'N200') [[19.02046]]
('N143', 'N229') [[19.019022]]
('N40', 'N45') [[19.011425]]
('N128', 'N215') [[18.995874]]
('N39', 'N106') [[18.986803]]
('N42', 'N229') [[18.970499]]
('N192', 'N195') [[18.969887]]
('N164', 'N200') [[18.967815]]
('N200', 'N218') [[18.964705]]
('N162', 'N229') [[18.953733]]
('N197', 'N229') [[18.949596]]
('N218', 'N219') [[18.930231]]
('N4', 'N224') [[18.920624]]
('N64', 'N200') [[18.911364]]
('N200', 'N215') [[18.910059]]
('N229', 'N253') [[18.891998]]
('N133', 'N253') [[18.860752]]
('N19', 'N229') [[18.851625]]
('N21', 'N45') [[18.846146]]
('N115', 'N160') [[18.84434]]
('N200', 'N229') [[18.842766]]
('N178', 'N229') [[18.83377]]
('N21', 'N200') [[18.83213]]
('N25', 'N236') [[18.810976]]
('N160', 'N229') [[18.803793]]
('N78', 'N229') [[18.79503]]
('N115', 'N200') [[18.792326]]
('N129', 'N229') [[18.788778]]
('N200', 'N224') [[18.78168]]
('N218', 'N236') [[18.77724]]
('N10', 'N171') [[18.767632]]
('N219', 'N227') [[18.767048]]
('N102', 'N107') [[18.765013]]
('N39', 'N171') [[18.763567]]
('N35', 'N58') [[18.763338]]
('N20', 'N253') [[18.756903]]
('N10', 'N58') [[18.75506]]
('N78', 'N192') [[18.75354]]
('N229', 'N236') [[18.750076]]
('N4', 'N200') [[18.749651]]
('N81', 'N192') [[18.746914]]
('N10', 'N219') [[18.737785]]
('N4', 'N192') [[18.728249]]
('N219', 'N224') [[18.720074]]
('N4', 'N99') [[18.717705]]
('N171', 'N251') [[18.716848]]
('N215', 'N235') [[18.712341]]
('N4', 'N216') [[18.711134]]
('N74', 'N133') [[18.707586]]
('N223', 'N251') [[18.706097]]
('N175', 'N223') [[18.704334]]
('N82', 'N218') [[18.69707]]
('N147', 'N215') [[18.693943]]
('N116', 'N229') [[18.691723]]
('N192', 'N253') [[18.688587]]
('N39', 'N128') [[18.686106]]
('N171', 'N246') [[18.684029]]
('N102', 'N181') [[18.683796]]
('N171', 'N203') [[18.681372]]
('N102', 'N224') [[18.678682]]
('N92', 'N229') [[18.678122]]
('N94', 'N218') [[18.675703]]
('N71', 'N240') [[18.675484]]
('N200', 'N236') [[18.672777]]
('N39', 'N71') [[18.668388]]
('N10', 'N229') [[18.66774]]
('N192', 'N221') [[18.666288]]
('N200', 'N219') [[18.663351]]
('N74', 'N253') [[18.662352]]
('N107', 'N152') [[18.653305]]
('N98', 'N229') [[18.650328]]
('N8', 'N229') [[18.649881]]
('N4', 'N250') [[18.642729]]
('N39', 'N119') [[18.638483]]
('N197', 'N215') [[18.636024]]
('N40', 'N229') [[18.632849]]
('N160', 'N223') [[18.632265]]
('N33', 'N243') [[18.631695]]
('N102', 'N104') [[18.624369]]
('N4', 'N218') [[18.624115]]
('N129', 'N192') [[18.62191]]
('N218', 'N239') [[18.619076]]
('N58', 'N192') [[18.61779]]
('N99', 'N129') [[18.616991]]
('N58', 'N236') [[18.616688]]
('N68', 'N229') [[18.615934]]
('N107', 'N128') [[18.610525]]
('N215', 'N229') [[18.609732]]
('N39', 'N178') [[18.60915]]
('N15', 'N181') [[18.6087]]
('N4', 'N223') [[18.608166]]
('N5', 'N192') [[18.607794]]
('N171', 'N229') [[18.606583]]
('N132', 'N200') [[18.606312]]
('N202', 'N218') [[18.605583]]
('N192', 'N236') [[18.605457]]
('N45', 'N200') [[18.604319]]
('N99', 'N229') [[18.60207]]
('N171', 'N216') [[18.600346]]
('N55', 'N219') [[18.59956]]
('N95', 'N200') [[18.598457]]
('N106', 'N229') [[18.597307]]
('N171', 'N175') [[18.59653]]
('N227', 'N229') [[18.59578]]
('N145', 'N229') [[18.593702]]
('N160', 'N191') [[18.592564]]
('N214', 'M0P2') [[18.587301]]
('N33', 'N171') [[18.582006]]
('N223', 'N246') [[18.581526]]
('N219', 'N229') [[18.581272]]
('N15', 'N223') [[18.579668]]
('N146', 'N192') [[18.573814]]
('N107', 'N181') [[18.572153]]
('N208', 'N224') [[18.570349]]
('N16', 'N45') [[18.570017]]
('N200', 'N246') [[18.56863]]
('N160', 'N175') [[18.566978]]
('N39', 'N229') [[18.566578]]
('N183', 'N229') [[18.565641]]
('N33', 'N229') [[18.56467]]
('N219', 'N236') [[18.562988]]
('N10', 'N87') [[18.56255]]
('N147', 'N218') [[18.559921]]
('N102', 'N218') [[18.557573]]
('N145', 'N196') [[18.555798]]
('N15', 'N162') [[18.555391]]
('N224', 'N229') [[18.553545]]
('N166', 'N236') [[18.551554]]
('N99', 'N235') [[18.551281]]
('N113', 'N147') [[18.55006]]
('N21', 'N218') [[18.547976]]
('N218', 'N227') [[18.54761]]
('N80', 'N102') [[18.547094]]
('N8', 'N106') [[18.545273]]
('N80', 'N229') [[18.544672]]
('N82', 'N192') [[18.544514]]
('N25', 'N107') [[18.543617]]
('N10', 'N221') [[18.542362]]
('N49', 'N195') [[18.541504]]
('N102', 'N145') [[18.541153]]
('N21', 'N115') [[18.539257]]
('N45', 'N121') [[18.537222]]
('N8', 'N219') [[18.536987]]
('N77', 'N236') [[18.534891]]
('N60', 'N162') [[18.53336]]
('N39', 'N78') [[18.524912]]
('N10', 'N170') [[18.520977]]
('N67', 'N227') [[18.52077]]
('N4', 'N147') [[18.518661]]
('N68', 'N106') [[18.518528]]
('N10', 'N94') [[18.517815]]
('N218', 'N252') [[18.51741]]
('N4', 'N202') [[18.51583]]
('N39', 'N45') [[18.515314]]
('N215', 'N224') [[18.515205]]
('N181', 'N229') [[18.512012]]
('N9', 'N224') [[18.511284]]
('N171', 'N231') [[18.51116]]
('N4', 'N10') [[18.510954]]
('N47', 'N99') [[18.508675]]
('N48', 'N102') [[18.507765]]
('N128', 'N229') [[18.50704]]
('N128', 'N231') [[18.50702]]
('N172', 'N239') [[18.506136]]
('N192', 'N229') [[18.504633]]
('N202', 'N246') [[18.503498]]
('N8', 'N47') [[18.503084]]
('N181', 'N219') [[18.502958]]
('N223', 'N239') [[18.502571]]
('N90', 'N236') [[18.502031]]
('N69', 'N200') [[18.499016]]
('N192', 'N239') [[18.49844]]
('N96', 'N113') [[18.49815]]
('N229', 'N240') [[18.498108]]
('N166', 'N229') [[18.497227]]
('N68', 'N223') [[18.496843]]
('N45', 'N128') [[18.495707]]
('N68', 'N128') [[18.495382]]
('N201', 'N229') [[18.493933]]
('N8', 'N253') [[18.493357]]
('N10', 'N192') [[18.492458]]
('N58', 'N166') [[18.491417]]
('N111', 'N115') [[18.491356]]
('N59', 'N162') [[18.49125]]
('N16', 'N171') [[18.490156]]
('N104', 'N239') [[18.489605]]
('N133', 'N175') [[18.48679]]
('N71', 'N227') [[18.484646]]
('N40', 'N252') [[18.48437]]
('N4', 'N45') [[18.482487]]
('N166', 'N216') [[18.482306]]
('N128', 'N172') [[18.481075]]
('N60', 'N229') [[18.479935]]
('N1', 'N192') [[18.479652]]
('N25', 'N128') [[18.47851]]
('N95', 'N107') [[18.476898]]
('N58', 'N218') [[18.476467]]
('N103', 'N229') [[18.476017]]
('N102', 'N215') [[18.475574]]
('N105', 'N171') [[18.474651]]
('N195', 'N236') [[18.472612]]
('N58', 'N146') [[18.472061]]
('N98', 'N192') [[18.471207]]
('N95', 'N229') [[18.467184]]
('N229', 'N238') [[18.46618]]
('N116', 'N243') [[18.465092]]
('N187', 'N236') [[18.463495]]
('N218', 'N243') [[18.462389]]
('N231', 'N238') [[18.461285]]
('N160', 'N192') [[18.460926]]
('N102', 'N171') [[18.458324]]
('N45', 'N224') [[18.456432]]
('N101', 'N200') [[18.456093]]
('N49', 'N171') [[18.45469]]
('N115', 'N152') [[18.453989]]
('N33', 'N45') [[18.453505]]
('N151', 'N171') [[18.452898]]
('N164', 'N229') [[18.4525]]
('N96', 'N187') [[18.452202]]
('N32', 'N192') [[18.45127]]
('N47', 'N215') [[18.450321]]
('N200', 'N223') [[18.45005]]
('N128', 'N253') [[18.449015]]
('N147', 'N192') [[18.446865]]
('N55', 'N147') [[18.446812]]
('N10', 'N74') [[18.445498]]
('N58', 'N60') [[18.445303]]
('N47', 'N107') [[18.445143]]
('N20', 'N205') [[18.44471]]
('N115', 'N239') [[18.444616]]
('N133', 'N250') [[18.444534]]
('N102', 'N200') [[18.443195]]
('N133', 'N215') [[18.442522]]
('N149', 'N167') [[18.442276]]
('N221', 'N239') [[18.442158]]
('N77', 'N218') [[18.442104]]
('N10', 'N178') [[18.442102]]
('N34', 'N192') [[18.440523]]
('N25', 'N229') [[18.439934]]
('N195', 'N229') [[18.439617]]
('N47', 'N72') [[18.439207]]
('N160', 'N215') [[18.438637]]
('N63', 'N78') [[18.438597]]
('N16', 'N27') [[18.436985]]
('N166', 'N215') [[18.436974]]
('N173', 'N229') [[18.436121]]
('N4', 'N127') [[18.435524]]
('N59', 'N192') [[18.4339]]
('N180', 'N183') [[18.433603]]
('N102', 'N126') [[18.429716]]
('N115', 'N166') [[18.429562]]
('N58', 'N64') [[18.428333]]
('N21', 'N68') [[18.42664]]
('N39', 'N246') [[18.424845]]
('N111', 'N215') [[18.42422]]
('N45', 'N241') [[18.423203]]
('N216', 'N218') [[18.42232]]
('N39', 'N200') [[18.422169]]
('N95', 'N164') [[18.421991]]
('N4', 'N146') [[18.421305]]
('N133', 'N218') [[18.420689]]
('N17', 'N171') [[18.420248]]
('N180', 'N215') [[18.420124]]
('N103', 'N171') [[18.4194]]
('N171', 'N181') [[18.418692]]
('N4', 'N240') [[18.418333]]
('N33', 'N250') [[18.417973]]
('N47', 'N200') [[18.417131]]
('N4', 'N160') [[18.416168]]
('N1', 'N102') [[18.415417]]
('N90', 'N107') [[18.414665]]
('N40', 'N175') [[18.414188]]
('N20', 'M0P1') [[18.414175]]
('N32', 'N229') [[18.4135]]
('N4', 'N219') [[18.413322]]
('N98', 'N200') [[18.412844]]
('N218', 'N237') [[18.412113]]
('N145', 'N171') [[18.411854]]
('N6', 'N200') [[18.411833]]
('N96', 'N200') [[18.410536]]
('N58', 'N202') [[18.409937]]
('N132', 'N170') [[18.409542]]
('N102', 'N147') [[18.407475]]
('N56', 'N58') [[18.4065]]
('N19', 'N106') [[18.406267]]
('N1', 'N10') [[18.406027]]
('N10', 'N47') [[18.404844]]
('N4', 'N13') [[18.404613]]
('N192', 'N202') [[18.402315]]
('N1', 'N39') [[18.40095]]
('N74', 'N102') [[18.400728]]
('N221', 'N236') [[18.40066]]
('N192', 'N219') [[18.399994]]
('N10', 'N92') [[18.399862]]
('N15', 'N178') [[18.398262]]
('N21', 'N110') [[18.396894]]
('N10', 'N253') [[18.395733]]
('N72', 'N102') [[18.395473]]
('N80', 'N215') [[18.393335]]
('N162', 'N223') [[18.39269]]
('N33', 'N71') [[18.392683]]
('N215', 'N238') [[18.391998]]
('N16', 'N216') [[18.391445]]
('N147', 'N200') [[18.390018]]
('N63', 'N227') [[18.389566]]
('N223', 'N235') [[18.38941]]
('N64', 'N80') [[18.388826]]
('N189', 'N229') [[18.38856]]
('N4', 'N152') [[18.387968]]
('N45', 'N250') [[18.384275]]
('N4', 'N214') [[18.382896]]
('N10', 'N45') [[18.382774]]
('N102', 'N167') [[18.382032]]
('N192', 'N223') [[18.38179]]
('N42', 'N152') [[18.381205]]
('N107', 'N216') [[18.380642]]
('N206', 'N218') [[18.38009]]
('N4', 'N39') [[18.379957]]
('N10', 'N140') [[18.379757]]
('N62', 'N229') [[18.379175]]
('N63', 'N215') [[18.378984]]
('N107', 'N179') [[18.378916]]
('N21', 'N71') [[18.378725]]
('N58', 'N240') [[18.378656]]
('N195', 'N219') [[18.378498]]
('N107', 'N205') [[18.37823]]
('N47', 'N238') [[18.378057]]
('N20', 'N128') [[18.376467]]
('N115', 'N128') [[18.376312]]
('N21', 'N107') [[18.375511]]
('N10', 'N235') [[18.375422]]
('N64', 'N236') [[18.375378]]
('N107', 'N218') [[18.374615]]
('N98', 'N162') [[18.374247]]
('N218', 'N253') [[18.373981]]
('N128', 'N160') [[18.372282]]
('N60', 'N224') [[18.372229]]
('N68', 'N164') [[18.371925]]
('N60', 'N115') [[18.37153]]
('N102', 'N238') [[18.371216]]
('N160', 'N183') [[18.369923]]
('N192', 'N231') [[18.369688]]
('N200', 'N235') [[18.369574]]
('N20', 'M0P2') [[18.369402]]
('N39', 'N172') [[18.368467]]
('N94', 'N229') [[18.367445]]
('N129', 'N218') [[18.367296]]
('N107', 'N253') [[18.36707]]
('N69', 'N175') [[18.366478]]
('N171', 'N200') [[18.365759]]
('N133', 'N147') [[18.364544]]
('N171', 'N178') [[18.363918]]
('N45', 'N71') [[18.363556]]
('N42', 'N200') [[18.363493]]
('N165', 'N166') [[18.36307]]
('N27', 'N192') [[18.362007]]
('N4', 'N67') [[18.361814]]
('N33', 'N101') [[18.361366]]
('N1', 'N107') [[18.3612]]
('N107', 'N206') [[18.360289]]
('N4', 'N197') [[18.360119]]
('N45', 'N253') [[18.358007]]
('N20', 'N241') [[18.357843]]
('N199', 'N229') [[18.357107]]
('N147', 'N219') [[18.356226]]
('N45', 'N140') [[18.356188]]
('N81', 'N246') [[18.355383]]
('N171', 'N188') [[18.355207]]
('N160', 'N218') [[18.353636]]
('N64', 'N229') [[18.35354]]
('N102', 'N203') [[18.353172]]
('N13', 'N106') [[18.353163]]
('N175', 'N219') [[18.351763]]
('N24', 'N218') [[18.35143]]
('N164', 'N236') [[18.351332]]
('N45', 'N96') [[18.350842]]
('N218', 'N223') [[18.350061]]
('N171', 'N215') [[18.349766]]
('N45', 'N251') [[18.349628]]
('N1', 'N106') [[18.34938]]
('N21', 'N132') [[18.34835]]
('N1', 'N184') [[18.34793]]
('N42', 'N236') [[18.347422]]
('N229', 'N243') [[18.3474]]
('N208', 'N229') [[18.345951]]
('N175', 'N229') [[18.345274]]
('N160', 'N180') [[18.344858]]
('N172', 'N218') [[18.343985]]
('N21', 'N164') [[18.34338]]
('N10', 'N25') [[18.342533]]
('N33', 'N107') [[18.341648]]
('N206', 'N229') [[18.341349]]
('N116', 'N250') [[18.341114]]
('N178', 'N223') [[18.340923]]
('N60', 'N183') [[18.340372]]
('N33', 'N147') [[18.339333]]
('N224', 'N240') [[18.339014]]
('N180', 'N218') [[18.338142]]
('N106', 'N215') [[18.33805]]
('N92', 'N253') [[18.337614]]
('N175', 'N217') [[18.337305]]
('N98', 'N106') [[18.337257]]
('N142', 'N215') [[18.336649]]
('N78', 'N116') [[18.336575]]
('N106', 'N162') [[18.336555]]
('N99', 'N205') [[18.336315]]
('N77', 'N229') [[18.335917]]
('N195', 'N227') [[18.335909]]
('N40', 'N107') [[18.335669]]
('N10', 'N21') [[18.335396]]
('N4', 'N170') [[18.33502]]
('N107', 'N215') [[18.33458]]
('N227', 'N239') [[18.334383]]
('N216', 'N223') [[18.333847]]
('N1', 'N80') [[18.333403]]
('N80', 'N90') [[18.332924]]
('N25', 'N45') [[18.33291]]
('N236', 'N243') [[18.332829]]
('N175', 'N181') [[18.33251]]
('N5', 'N71') [[18.331657]]
('N99', 'N116') [[18.330948]]
('N34', 'N219') [[18.330626]]
('N171', 'N238') [[18.330473]]
('N202', 'N229') [[18.329922]]
