('M0P1', 'M0P2') [[62.92389]]
('N121', 'N187') [[19.300207]]
('N130', 'N243') [[19.248705]]
('N143', 'N243') [[19.160437]]
('N19', 'N50') [[19.137863]]
('N106', 'N118') [[19.133307]]
('N77', 'N106') [[19.103666]]
('N106', 'N223') [[19.076962]]
('N106', 'N128') [[19.0367]]
('N106', 'N186') [[18.980198]]
('N40', 'N121') [[18.977259]]
('N121', 'N128') [[18.959345]]
('N50', 'N243') [[18.956652]]
('N143', 'N249') [[18.954062]]
('N2', 'N249') [[18.94666]]
('N106', 'M0P1') [[18.93653]]
('N126', 'N240') [[18.93257]]
('N77', 'N130') [[18.916353]]
('N182', 'M0P1') [[18.89235]]
('N106', 'N233') [[18.885115]]
('N11', 'N19') [[18.861937]]
('N111', 'N143') [[18.858435]]
('N6', 'N106') [[18.846169]]
('N50', 'N229') [[18.835983]]
('N22', 'N228') [[18.833197]]
('N50', 'N79') [[18.830593]]
('N22', 'N106') [[18.813362]]
('N62', 'N174') [[18.79554]]
('N11', 'N50') [[18.791677]]
('N50', 'N151') [[18.784382]]
('N11', 'N156') [[18.782963]]
('N106', 'N187') [[18.771542]]
('N84', 'N106') [[18.771479]]
('N43', 'N50') [[18.770308]]
('N53', 'N106') [[18.756405]]
('N106', 'N121') [[18.75206]]
('N120', 'N223') [[18.751253]]
('N126', 'N228') [[18.745283]]
('N11', 'N59') [[18.745115]]
('N62', 'N215') [[18.744843]]
('N17', 'N118') [[18.742102]]
('N11', 'N37') [[18.73814]]
('N22', 'N121') [[18.734936]]
('N9', 'N106') [[18.728512]]
('N11', 'N153') [[18.726187]]
('N11', 'N240') [[18.721067]]
('N99', 'N106') [[18.71407]]
('N1', 'N53') [[18.713104]]
('N1', 'N50') [[18.71284]]
('N50', 'N173') [[18.710085]]
('N32', 'N201') [[18.7089]]
('N1', 'N150') [[18.706974]]
('N50', 'N62') [[18.700722]]
('N84', 'N243') [[18.69393]]
('N50', 'N53') [[18.692013]]
('N50', 'N118') [[18.691837]]
('N2', 'N143') [[18.69085]]
('N106', 'N126') [[18.687737]]
('N126', 'N197') [[18.681673]]
('N11', 'N143') [[18.678265]]
('N50', 'N143') [[18.671309]]
('N6', 'N16') [[18.669289]]
('N53', 'M0P1') [[18.669231]]
('N229', 'N240') [[18.6615]]
('N106', 'N173') [[18.659292]]
('N11', 'N222') [[18.65713]]
('N50', 'N72') [[18.655247]]
('N50', 'N174') [[18.651638]]
('N43', 'N106') [[18.650003]]
('N50', 'N59') [[18.644203]]
('N50', 'N240') [[18.641989]]
('N1', 'N129') [[18.637312]]
('N1', 'N116') [[18.633867]]
('N106', 'N225') [[18.632915]]
('N50', 'N93') [[18.631212]]
('N176', 'N243') [[18.62889]]
('N166', 'N243') [[18.620758]]
('N69', 'N196') [[18.619022]]
('N53', 'N77') [[18.615883]]
('N11', 'N106') [[18.615303]]
('N6', 'N186') [[18.612997]]
('N130', 'N201') [[18.610043]]
('N57', 'N143') [[18.608604]]
('N106', 'N192') [[18.608343]]
('N100', 'N198') [[18.606653]]
('N153', 'N156') [[18.606304]]
('N143', 'N187') [[18.600988]]
('N50', 'N200') [[18.58885]]
('N59', 'N88') [[18.585697]]
('N50', 'N106') [[18.58304]]
('N62', 'N242') [[18.582203]]
('N43', 'N224') [[18.574099]]
('N6', 'N19') [[18.565973]]
('N86', 'N187') [[18.5633]]
('N19', 'N243') [[18.561409]]
('N11', 'N77') [[18.560343]]
('N213', 'N249') [[18.559792]]
('N106', 'N229') [[18.557198]]
('N174', 'N198') [[18.556353]]
('N99', 'N241') [[18.553658]]
('N70', 'N121') [[18.552227]]
('N143', 'N197') [[18.549194]]
('N59', 'N240') [[18.547394]]
('N11', 'N69') [[18.546518]]
('N242', 'N243') [[18.544823]]
('N11', 'N215') [[18.54116]]
('N43', 'N174') [[18.540668]]
('N84', 'N143') [[18.54044]]
('N70', 'N223') [[18.538483]]
('N87', 'N143') [[18.538094]]
('N35', 'N240') [[18.536732]]
('N77', 'N173') [[18.536352]]
('N1', 'N43') [[18.53405]]
('N106', 'N150') [[18.532791]]
('N50', 'N163') [[18.532507]]
('N30', 'N121') [[18.52798]]
('N106', 'N197') [[18.525621]]
('N173', 'N222') [[18.52044]]
('N53', 'N174') [[18.520065]]
('N17', 'N121') [[18.516392]]
('N128', 'N223') [[18.510946]]
('N106', 'N167') [[18.509243]]
('N50', 'N167') [[18.50912]]
('N106', 'N241') [[18.50887]]
('N50', 'N150') [[18.508667]]
('N150', 'N230') [[18.50862]]
('N21', 'N50') [[18.507235]]
('N1', 'N130') [[18.506725]]
('N16', 'N128') [[18.505508]]
('N174', 'N241') [[18.505465]]
('N228', 'N240') [[18.50518]]
('N11', 'N160') [[18.503847]]
('N1', 'N225') [[18.502478]]
('N69', 'N75') [[18.500532]]
('N50', 'N215') [[18.498745]]
('N6', 'N21') [[18.497213]]
('N43', 'N150') [[18.495844]]
('N84', 'N231') [[18.495163]]
('N33', 'N187') [[18.49401]]
('N37', 'N95') [[18.4929]]
('N126', 'N156') [[18.48997]]
('N121', 'N222') [[18.48498]]
('N2', 'N174') [[18.481236]]
('N121', 'N241') [[18.480322]]
('N0', 'N106') [[18.478046]]
('N106', 'N164') [[18.477766]]
('N32', 'N223') [[18.477007]]
('N47', 'N143') [[18.475515]]
('N2', 'N77') [[18.473349]]
('N43', 'N176') [[18.472168]]
('N50', 'N155') [[18.471355]]
('N62', 'N126') [[18.468573]]
('N106', 'N176') [[18.465336]]
('N156', 'N225') [[18.461485]]
('N74', 'N225') [[18.460228]]
('N16', 'N174') [[18.458763]]
('N120', 'N143') [[18.458212]]
('N59', 'N77') [[18.457384]]
('N124', 'N248') [[18.456408]]
('N128', 'N196') [[18.452097]]
('N11', 'N99') [[18.45199]]
('N192', 'N243') [[18.451906]]
('N94', 'N106') [[18.451864]]
('N19', 'N174') [[18.451666]]
('N106', 'N143') [[18.450848]]
('N11', 'N243') [[18.449808]]
('N11', 'N120') [[18.447853]]
('N19', 'N213') [[18.447838]]
('N11', 'N121') [[18.447575]]
('N6', 'N126') [[18.4462]]
('N187', 'N201') [[18.444994]]
('N128', 'N222') [[18.444372]]
('N121', 'N201') [[18.443876]]
('N106', 'N228') [[18.443033]]
('N11', 'N241') [[18.442884]]
('N50', 'N126') [[18.442408]]
('N1', 'N230') [[18.441107]]
('N126', 'N172') [[18.43861]]
('N156', 'N215') [[18.433]]
('N105', 'N130') [[18.432512]]
('N111', 'N186') [[18.43064]]
('N50', 'N230') [[18.428125]]
('N30', 'N174') [[18.427502]]
('N50', 'N213') [[18.424992]]
('N2', 'N50') [[18.423157]]
('N50', 'N88') [[18.42204]]
('N59', 'N222') [[18.420994]]
('N128', 'N176') [[18.420774]]
('N11', 'N173') [[18.419939]]
('N37', 'N243') [[18.416357]]
('N11', 'N92') [[18.415724]]
('N17', 'N106') [[18.414928]]
('N19', 'N143') [[18.41403]]
('N143', 'N156') [[18.413391]]
('N69', 'N121') [[18.412363]]
('N128', 'N174') [[18.41043]]
