('M0P1', 'M0P2') [[35.65363]]
('N191', 'N207') [[19.902954]]
('N3', 'N191') [[19.774874]]
('N64', 'N183') [[19.606195]]
('N41', 'N83') [[19.598331]]
('N41', 'N207') [[19.586018]]
('N83', 'N183') [[19.543993]]
('N64', 'N78') [[19.535822]]
('N3', 'N83') [[19.520266]]
('N22', 'N234') [[19.490818]]
('N64', 'N97') [[19.489798]]
('N41', 'N64') [[19.479868]]
('N46', 'N114') [[19.477745]]
('N164', 'N191') [[19.3986]]
('N105', 'N183') [[19.366386]]
('N6', 'N114') [[19.358164]]
('N22', 'N41') [[19.35]]
('N232', 'N241') [[19.329306]]
('N41', 'N164') [[19.305502]]
('N55', 'N114') [[19.293882]]
('N64', 'N207') [[19.286386]]
('N114', 'N207') [[19.283607]]
('N131', 'N218') [[19.265238]]
('N6', 'N64') [[19.256016]]
('N157', 'N191') [[19.247383]]
('N3', 'N118') [[19.243727]]
('N3', 'N63') [[19.234766]]
('N64', 'N76') [[19.232634]]
('N63', 'N207') [[19.224947]]
('N183', 'N251') [[19.211811]]
('N10', 'N97') [[19.203442]]
('N164', 'N187') [[19.202963]]
('N24', 'N64') [[19.19311]]
('N64', 'N120') [[19.191475]]
('N37', 'N41') [[19.179218]]
('N64', 'N191') [[19.178173]]
('N83', 'N227') [[19.176517]]
('N64', 'N219') [[19.173857]]
('N76', 'N183') [[19.173504]]
('N78', 'N183') [[19.167948]]
('N32', 'N92') [[19.15364]]
('N12', 'N183') [[19.152952]]
('N114', 'N193') [[19.14751]]
('N41', 'N180') [[19.144073]]
('N83', 'N138') [[19.144068]]
('N64', 'N193') [[19.135183]]
('N32', 'N83') [[19.134083]]
('N120', 'N207') [[19.125923]]
('N41', 'N55') [[19.124914]]
('N10', 'N183') [[19.120386]]
('N76', 'N83') [[19.11729]]
('N120', 'N221') [[19.110962]]
('N2', 'N234') [[19.110052]]
('N192', 'N207') [[19.103384]]
('N120', 'N191') [[19.10225]]
('N2', 'N41') [[19.102005]]
('N64', 'N95') [[19.090685]]
('N3', 'N244') [[19.078106]]
('N244', 'N251') [[19.074406]]
('N93', 'N227') [[19.07343]]
('N6', 'N227') [[19.063868]]
('N72', 'N241') [[19.061836]]
('N76', 'N191') [[19.061056]]
('N105', 'N191') [[19.05902]]
('N41', 'N154') [[19.058905]]
('N41', 'N76') [[19.057537]]
('N3', 'N64') [[19.05546]]
('N64', 'N221') [[19.055437]]
('N26', 'N207') [[19.0526]]
('N120', 'N138') [[19.048613]]
('N64', 'N114') [[19.048359]]
('N41', 'N234') [[19.047167]]
('N83', 'N207') [[19.046349]]
('N118', 'N191') [[19.041162]]
('N41', 'N251') [[19.037725]]
('N12', 'N64') [[19.037495]]
('N92', 'N164') [[19.036518]]
('N120', 'N183') [[19.035412]]
('N63', 'N211') [[19.032515]]
('N6', 'N207') [[19.030792]]
('N37', 'N64') [[19.026234]]
('N63', 'N244') [[19.024462]]
('N3', 'N241') [[19.015036]]
('N64', 'N118') [[19.008083]]
('N97', 'N211') [[19.006687]]
('N219', 'N241') [[19.005676]]
('N114', 'N129') [[18.996334]]
('N83', 'N114') [[18.995176]]
('N97', 'N120') [[18.99402]]
('N118', 'N148') [[18.988382]]
('N124', 'N232') [[18.988161]]
('N50', 'N183') [[18.98446]]
('N72', 'N244') [[18.983425]]
('N64', 'N98') [[18.982967]]
('N183', 'N208') [[18.980518]]
('N41', 'N97') [[18.979443]]
('N83', 'N193') [[18.972193]]
('N151', 'N232') [[18.967705]]
('N95', 'N227') [[18.962866]]
('N41', 'N241') [[18.956451]]
('N83', 'N93') [[18.955057]]
('N13', 'N76') [[18.954914]]
('N97', 'N241') [[18.94948]]
('N83', 'N157') [[18.949385]]
('N183', 'N191') [[18.948624]]
('N64', 'N121') [[18.94806]]
('N154', 'N211') [[18.945581]]
('N183', 'N207') [[18.941006]]
('N183', 'N234') [[18.938839]]
('N73', 'N114') [[18.937132]]
('N64', 'N90') [[18.936842]]
('N6', 'N93') [[18.933481]]
('N211', 'N251') [[18.933393]]
('N32', 'N76') [[18.931133]]
('N64', 'N206') [[18.93037]]
('N3', 'N133') [[18.928652]]
('N183', 'N211') [[18.928362]]
('N63', 'N83') [[18.92758]]
('N90', 'N207') [[18.926697]]
('N0', 'N3') [[18.926004]]
('N114', 'N218') [[18.924023]]
('N3', 'N148') [[18.919031]]
('N138', 'N183') [[18.918783]]
('N76', 'N207') [[18.917488]]
('N72', 'N114') [[18.91706]]
('N96', 'N191') [[18.916817]]
('N3', 'N207') [[18.915565]]
('N154', 'N241') [[18.914583]]
('N32', 'N218') [[18.913025]]
('N64', 'N102') [[18.911678]]
('N97', 'N157') [[18.911617]]
('N211', 'N232') [[18.908583]]
('N41', 'N183') [[18.906576]]
('N3', 'N187') [[18.905846]]
('N33', 'N97') [[18.90389]]
('N32', 'N114') [[18.903412]]
('N114', 'N189') [[18.902214]]
('N99', 'N191') [[18.901552]]
('N64', 'N140') [[18.899979]]
('N193', 'N207') [[18.898657]]
('N42', 'N183') [[18.898539]]
('N26', 'N64') [[18.898163]]
('N154', 'N183') [[18.895624]]
('N22', 'N207') [[18.89458]]
('N68', 'N83') [[18.892714]]
('N64', 'N83') [[18.891754]]
('N97', 'N183') [[18.890251]]
('N64', 'N190') [[18.889395]]
('N167', 'N189') [[18.887606]]
('N16', 'N64') [[18.884842]]
('N75', 'N191') [[18.88481]]
('N48', 'N205') [[18.884384]]
('N99', 'N164') [[18.88192]]
('N148', 'N191') [[18.88004]]
('N95', 'N211') [[18.879549]]
('N98', 'N211') [[18.876324]]
('N192', 'N193') [[18.875763]]
('N39', 'N241') [[18.874277]]
('N63', 'N64') [[18.874062]]
('N3', 'N157') [[18.873817]]
('N52', 'N183') [[18.872541]]
('N41', 'N191') [[18.871479]]
('N83', 'N191') [[18.869057]]
('N48', 'N64') [[18.86892]]
('N51', 'N68') [[18.867088]]
('N114', 'N227') [[18.863245]]
('N98', 'N183') [[18.862894]]
('N207', 'N234') [[18.859383]]
('N29', 'N64') [[18.858948]]
('N51', 'N241') [[18.858912]]
('N97', 'N244') [[18.8587]]
('N145', 'N227') [[18.858013]]
('N64', 'N231') [[18.856424]]
('N118', 'N193') [[18.856276]]
('N80', 'N92') [[18.855751]]
('N129', 'N235') [[18.852673]]
('N149', 'N207') [[18.852245]]
('N76', 'N164') [[18.85183]]
('N22', 'N64') [[18.851389]]
('N41', 'N120') [[18.850805]]
('N82', 'N95') [[18.850414]]
('N41', 'N118') [[18.849697]]
('N118', 'N180') [[18.847609]]
('N191', 'N211') [[18.845043]]
('N63', 'N115') [[18.843925]]
('N83', 'N131') [[18.843014]]
('N12', 'N78') [[18.842463]]
('N78', 'N205') [[18.841162]]
('N41', 'N78') [[18.841078]]
('N64', 'N93') [[18.839718]]
('N241', 'N249') [[18.839672]]
('N83', 'N97') [[18.839249]]
('N96', 'N207') [[18.837845]]
('N174', 'N183') [[18.835093]]
('N138', 'N164') [[18.834936]]
('N83', 'N241') [[18.834124]]
('N3', 'N10') [[18.833326]]
('N207', 'N251') [[18.831947]]
('N31', 'N64') [[18.83174]]
('N92', 'N193') [[18.830837]]
('N80', 'N154') [[18.827587]]
('N64', 'N211') [[18.826574]]
('N2', 'N193') [[18.826473]]
('N0', 'N164') [[18.82623]]
('N22', 'N167') [[18.824791]]
('N145', 'N241') [[18.823729]]
('N64', 'N92') [[18.823374]]
('N114', 'N142') [[18.822548]]
('N157', 'N241') [[18.820974]]
('N64', 'N145') [[18.820932]]
('N6', 'N76') [[18.820822]]
('N154', 'N193') [[18.819715]]
('N211', 'N241') [[18.81962]]
('N206', 'N251') [[18.818436]]
('N96', 'N183') [[18.818398]]
('N46', 'N64') [[18.817501]]
('N63', 'N183') [[18.81679]]
('N95', 'N232') [[18.816107]]
('N64', 'N105') [[18.813488]]
('N97', 'N114') [[18.8127]]
('N72', 'N187') [[18.809652]]
('N41', 'N193') [[18.80838]]
('N97', 'N121') [[18.80799]]
('N118', 'N211') [[18.806076]]
('N32', 'N207') [[18.804972]]
('N6', 'N97') [[18.804098]]
('N97', 'N218') [[18.803785]]
('N76', 'N97') [[18.803759]]
('N46', 'N61') [[18.803041]]
('N95', 'N154') [[18.802265]]
('N22', 'N241') [[18.800175]]
('N29', 'N120') [[18.798443]]
('N115', 'N191') [[18.797653]]
('N3', 'N234') [[18.797424]]
('N3', 'N41') [[18.797346]]
('N99', 'N207') [[18.795668]]
('N206', 'N207') [[18.795391]]
('N202', 'N207') [[18.794935]]
('N64', 'N112') [[18.792816]]
('N41', 'N157') [[18.791517]]
('N24', 'N183') [[18.788502]]
('N60', 'N64') [[18.787277]]
('N137', 'N183') [[18.786318]]
('N191', 'N251') [[18.785002]]
('N123', 'N133') [[18.783552]]
('N6', 'N183') [[18.782637]]
('N90', 'N183') [[18.781843]]
('N79', 'N207') [[18.781704]]
('N154', 'N180') [[18.780947]]
('N64', 'N159') [[18.77996]]
('N63', 'N191') [[18.779724]]
('N6', 'N81') [[18.779325]]
('N3', 'N232') [[18.779198]]
('N0', 'N41') [[18.778765]]
('N41', 'N167') [[18.777565]]
('N129', 'N241') [[18.77746]]
('N63', 'N90') [[18.776522]]
('N83', 'N180') [[18.776508]]
('N75', 'N114') [[18.775993]]
('N97', 'N207') [[18.775925]]
('N83', 'N173') [[18.77555]]
('N64', 'N241') [[18.775166]]
('N32', 'N191') [[18.774527]]
('N64', 'N82') [[18.772852]]
('N81', 'N83') [[18.770403]]
('N17', 'N207') [[18.770142]]
('N6', 'N241') [[18.76809]]
('N191', 'N244') [[18.764637]]
('N221', 'N241') [[18.76389]]
('N63', 'N87') [[18.763786]]
('N68', 'N241') [[18.762348]]
('N31', 'N92') [[18.762056]]
('N80', 'N219') [[18.760569]]
('N120', 'N193') [[18.759672]]
('N206', 'N234') [[18.756851]]
('N63', 'N227') [[18.756834]]
('N26', 'N221') [[18.7555]]
('N113', 'N183') [[18.754177]]
('N22', 'N29') [[18.753681]]
('N26', 'N114') [[18.751871]]
('N165', 'N191') [[18.751507]]
('N32', 'N58') [[18.747856]]
('N164', 'N241') [[18.747633]]
('N118', 'N207') [[18.746473]]
('N67', 'N183') [[18.745312]]
('N32', 'N78') [[18.744087]]
('N67', 'N97') [[18.743692]]
('N80', 'N164') [[18.740927]]
('N64', 'N155') [[18.74054]]
('N100', 'N191') [[18.738396]]
('N120', 'N188') [[18.738297]]
('N3', 'N115') [[18.738281]]
('N125', 'N154') [[18.737398]]
('N0', 'N211') [[18.737335]]
('N148', 'N183') [[18.737143]]
('N145', 'N207') [[18.737082]]
('N3', 'N164') [[18.73633]]
('N123', 'N207') [[18.735403]]
('N26', 'N115') [[18.735188]]
('N92', 'N211') [[18.73483]]
('N78', 'N191') [[18.734627]]
('N120', 'N164') [[18.7334]]
