('M0P1', 'M0P2') [[25.54051]]
('N210', 'M0P1') [[14.811431]]
('N36', 'N142') [[14.8104515]]
('N36', 'N90') [[14.663247]]
('N177', 'N231') [[14.440797]]
('N128', 'N176') [[14.38252]]
('N9', 'N243') [[14.351343]]
('N146', 'N243') [[14.35119]]
('N36', 'N75') [[14.340652]]
('N36', 'N231') [[14.337047]]
('N36', 'N99') [[14.293647]]
('N36', 'N243') [[14.291586]]
('N142', 'N231') [[14.288671]]
('N61', 'N243') [[14.287011]]
('N49', 'N135') [[14.264198]]
('N36', 'N96') [[14.252791]]
('N90', 'N231') [[14.233246]]
('N142', 'N185') [[14.223243]]
('N36', 'N185') [[14.21547]]
('N75', 'N185') [[14.210669]]
('N75', 'N176') [[14.208796]]
('N134', 'M0P1') [[14.206922]]
('N116', 'N142') [[14.205785]]
('N75', 'N177') [[14.18932]]
('N177', 'N203') [[14.16992]]
('N1', 'N165') [[14.167618]]
('N142', 'N244') [[14.158868]]
('N142', 'N243') [[14.158433]]
('N2', 'N185') [[14.145126]]
('N231', 'N243') [[14.139271]]
('N177', 'N243') [[14.129614]]
('N96', 'N241') [[14.127525]]
('N75', 'N90') [[14.12596]]
('N1', 'N243') [[14.121297]]
('N36', 'N251') [[14.121197]]
('N36', 'N195') [[14.102919]]
('N185', 'N223') [[14.101655]]
('N185', 'N233') [[14.100133]]
('N116', 'N231') [[14.100078]]
('N86', 'N142') [[14.10005]]
('N142', 'N165') [[14.094792]]
('N34', 'N243') [[14.094633]]
('N185', 'M0P1') [[14.092651]]
('N185', 'N243') [[14.090964]]
('N133', 'N203') [[14.088094]]
('N176', 'N185') [[14.08109]]
('N94', 'N177') [[14.0778885]]
('N135', 'N231') [[14.074975]]
('N9', 'N185') [[14.0717535]]
('N96', 'N223') [[14.069339]]
('N36', 'N133') [[14.061099]]
('N151', 'N243') [[14.049654]]
('N2', 'N129') [[14.048544]]
('N231', 'N253') [[14.048357]]
('N142', 'N253') [[14.042014]]
('N90', 'N243') [[14.040539]]
('N28', 'N186') [[14.039695]]
('N90', 'N185') [[14.033077]]
('N128', 'N133') [[14.027003]]
('N10', 'N231') [[14.025358]]
('N165', 'N245') [[14.020804]]
('N159', 'N243') [[14.019536]]
('N8', 'N243') [[14.016279]]
('N119', 'N186') [[14.013366]]
('N135', 'N185') [[14.007946]]
('N195', 'N231') [[14.005178]]
('N28', 'N36') [[14.001933]]
('N36', 'N49') [[13.993912]]
('N185', 'N231') [[13.992336]]
('N10', 'N185') [[13.991058]]
('N235', 'N243') [[13.990213]]
('N116', 'N177') [[13.989411]]
('N133', 'N206') [[13.988105]]
('N38', 'N243') [[13.987911]]
('N243', 'N249') [[13.987309]]
('N83', 'N170') [[13.98507]]
('N36', 'N158') [[13.984565]]
('N119', 'N243') [[13.980658]]
('N186', 'N243') [[13.979973]]
('N146', 'N246') [[13.970065]]
('N61', 'N133') [[13.96995]]
('N241', 'N251') [[13.969547]]
('N96', 'N185') [[13.966683]]
('N75', 'N165') [[13.966143]]
('N133', 'N226') [[13.964815]]
('N36', 'N233') [[13.959408]]
('N133', 'N245') [[13.956973]]
('N96', 'N128') [[13.951508]]
('N243', 'N251') [[13.951078]]
('N185', 'N245') [[13.950365]]
('N36', 'N177') [[13.94958]]
('N94', 'N99') [[13.9461355]]
('N197', 'N243') [[13.945377]]
('N101', 'N243') [[13.944172]]
('N75', 'N231') [[13.943978]]
('N75', 'N128') [[13.941215]]
('N96', 'N176') [[13.94076]]
('N142', 'N177') [[13.940269]]
('N75', 'N91') [[13.940121]]
('N30', 'N96') [[13.938676]]
('N176', 'M0P1') [[13.937718]]
('N243', 'N252') [[13.936215]]
('N142', 'N215') [[13.934546]]
('N9', 'N177') [[13.932122]]
('N1', 'N142') [[13.929508]]
('N36', 'N246') [[13.928799]]
('N243', 'N245') [[13.928014]]
('N177', 'N220') [[13.926663]]
('N36', 'N186') [[13.9257345]]
('N4', 'N195') [[13.92365]]
('N90', 'N142') [[13.923627]]
('N90', 'N116') [[13.921616]]
('N58', 'N96') [[13.920035]]
('N36', 'N220') [[13.918493]]
('N49', 'N151') [[13.916824]]
('N61', 'N116') [[13.916666]]
('N10', 'N116') [[13.916626]]
('N210', 'M0P2') [[13.914632]]
('N94', 'N165') [[13.907514]]
('N95', 'N167') [[13.906538]]
('N128', 'N185') [[13.905572]]
('N83', 'N243') [[13.904169]]
('N9', 'N142') [[13.90275]]
('N91', 'N245') [[13.901725]]
('N176', 'N243') [[13.899564]]
('N91', 'N176') [[13.893919]]
('N83', 'N133') [[13.892769]]
('N29', 'N128') [[13.892054]]
('N3', 'N75') [[13.8917055]]
('N91', 'N142') [[13.890951]]
('N1', 'N112') [[13.888299]]
('N75', 'N132') [[13.8880825]]
('N29', 'N243') [[13.887202]]
('N99', 'N177') [[13.886314]]
('N219', 'M0P1') [[13.88476]]
('N165', 'N243') [[13.883143]]
('N133', 'N253') [[13.882596]]
('N34', 'N36') [[13.878529]]
('N133', 'N207') [[13.877936]]
('N99', 'N243') [[13.876581]]
('N1', 'N177') [[13.875666]]
('N165', 'N176') [[13.873177]]
('N36', 'N40') [[13.870253]]
('N28', 'N176') [[13.865089]]
('N142', 'N146') [[13.86435]]
('N195', 'N253') [[13.864201]]
('N116', 'N243') [[13.8624325]]
('N112', 'N243') [[13.860351]]
('N133', 'N142') [[13.858675]]
('N57', 'N186') [[13.857286]]
('N98', 'N243') [[13.856596]]
('N36', 'N116') [[13.8560915]]
('N34', 'N90') [[13.854257]]
('N243', 'N253') [[13.8535]]
('N142', 'N223') [[13.853358]]
('N36', 'N206') [[13.852375]]
('N176', 'N177') [[13.848792]]
('N90', 'N251') [[13.847921]]
('N52', 'N206') [[13.846553]]
('N90', 'N195') [[13.845728]]
('N76', 'N185') [[13.844367]]
('N159', 'N253') [[13.843353]]
('N99', 'N165') [[13.839103]]
('N75', 'N219') [[13.837404]]
('N36', 'N128') [[13.836625]]
('N91', 'N99') [[13.835663]]
('N137', 'N142') [[13.832399]]
('N61', 'N90') [[13.827321]]
('N176', 'N245') [[13.824657]]
('N83', 'N185') [[13.823659]]
('N133', 'N177') [[13.821928]]
('N23', 'N90') [[13.8213215]]
('N128', 'N151') [[13.82113]]
('N109', 'N142') [[13.820339]]
('N75', 'N146') [[13.818202]]
('N132', 'N133') [[13.817914]]
('N67', 'N142') [[13.817637]]
('N133', 'N224') [[13.816917]]
('N36', 'N86') [[13.816388]]
('N90', 'N235') [[13.816173]]
('N128', 'N157') [[13.813986]]
('N226', 'N243') [[13.813707]]
('N75', 'N195') [[13.810001]]
('N94', 'N119') [[13.808522]]
('N96', 'N251') [[13.806282]]
('N25', 'N185') [[13.805748]]
('N176', 'N244') [[13.80562]]
('N9', 'N176') [[13.804312]]
('N74', 'N177') [[13.802977]]
('N36', 'N129') [[13.80257]]
('N9', 'N36') [[13.801815]]
('N1', 'N54') [[13.796836]]
('N204', 'N215') [[13.794213]]
('N177', 'N232') [[13.793871]]
('N25', 'N36') [[13.793626]]
('N177', 'N215') [[13.792886]]
('N1', 'N245') [[13.787493]]
('N116', 'N253') [[13.786629]]
('N128', 'N233') [[13.7860155]]
('N2', 'N134') [[13.785066]]
('N36', 'N134') [[13.784164]]
('N53', 'N116') [[13.783941]]
('N96', 'N186') [[13.783142]]
('N75', 'N142') [[13.782206]]
('N231', 'N246') [[13.782189]]
('N58', 'N128') [[13.782165]]
('N36', 'N253') [[13.78162]]
('N55', 'N253') [[13.781259]]
('N36', 'N244') [[13.779826]]
('N91', 'N132') [[13.777874]]
('N177', 'N226') [[13.775269]]
('N23', 'N176') [[13.775188]]
('N2', 'N36') [[13.774899]]
('N177', 'N252') [[13.774706]]
('N9', 'N101') [[13.774439]]
('N177', 'N195') [[13.7734785]]
('N90', 'N141') [[13.772631]]
('N128', 'N177') [[13.770773]]
('N126', 'N231') [[13.770228]]
('N8', 'N61') [[13.769882]]
('N151', 'N177') [[13.769539]]
('N2', 'N49') [[13.769162]]
('N36', 'N135') [[13.768583]]
('N99', 'N246') [[13.767477]]
('N49', 'N90') [[13.766988]]
('N19', 'N36') [[13.764971]]
('N129', 'N143') [[13.763007]]
('N9', 'N189') [[13.761892]]
('N58', 'N177') [[13.759317]]
('N165', 'N177') [[13.75816]]
('N99', 'N129') [[13.757492]]
('N28', 'N90') [[13.757299]]
('N96', 'N177') [[13.757078]]
('N96', 'N231') [[13.756709]]
('N75', 'N221') [[13.75597]]
('N91', 'N137') [[13.752563]]
('N75', 'N96') [[13.752529]]
('N90', 'N176') [[13.752016]]
('N36', 'N58') [[13.746731]]
('N220', 'N252') [[13.746539]]
('N67', 'N96') [[13.7451515]]
('N75', 'N207') [[13.744561]]
('N18', 'N36') [[13.743957]]
('N61', 'N186') [[13.743534]]
('N75', 'N116') [[13.742223]]
('N75', 'N95') [[13.741739]]
('N36', 'N159') [[13.739611]]
('N1', 'N36') [[13.738277]]
('N75', 'N243') [[13.738245]]
('N83', 'N134') [[13.73714]]
('N36', 'N170') [[13.736343]]
('N137', 'N231') [[13.7362585]]
('N9', 'N245') [[13.736089]]
('N142', 'N149') [[13.735197]]
('N133', 'N231') [[13.735113]]
('N206', 'N243') [[13.735101]]
('N220', 'N243') [[13.734083]]
('N36', 'N188') [[13.733113]]
('N177', 'N233') [[13.732783]]
('N10', 'N53') [[13.732422]]
('N91', 'N243') [[13.7316475]]
('N75', 'N220') [[13.731518]]
('N91', 'N214') [[13.73102]]
('N101', 'N133') [[13.730338]]
('N90', 'N207') [[13.729824]]
('N142', 'N193') [[13.729047]]
('N143', 'N151') [[13.728569]]
('N195', 'N243') [[13.7284975]]
('N35', 'N231') [[13.728468]]
('N91', 'N215') [[13.7276535]]
('N99', 'N195') [[13.725996]]
('N36', 'N119') [[13.725004]]
('N2', 'N90') [[13.7238]]
('N28', 'N58') [[13.7202215]]
('N119', 'N142') [[13.720029]]
('N49', 'N133') [[13.719561]]
('N67', 'N133') [[13.71865]]
('N52', 'N243') [[13.717798]]
('N1', 'N35') [[13.717292]]
('N176', 'N186') [[13.716892]]
('N61', 'N67') [[13.716388]]
('N96', 'N253') [[13.715623]]
('N96', 'N112') [[13.715179]]
('N185', 'N186') [[13.7146845]]
('N94', 'N231') [[13.714674]]
('N8', 'N126') [[13.714469]]
('N122', 'N133') [[13.712455]]
('N128', 'N165') [[13.710943]]
('N28', 'N119') [[13.710659]]
('N55', 'N133') [[13.710619]]
('N1', 'N75') [[13.710216]]
('N128', 'N246') [[13.709549]]
('N99', 'N251') [[13.70911]]
('N75', 'N133') [[13.707659]]
('N4', 'N91') [[13.707237]]
('N91', 'N133') [[13.70719]]
