('M0P1', 'M0P2') [[84.25486]]
('N221', 'M0P2') [[19.964048]]
('N221', 'M0P1') [[19.928883]]
('N153', 'M0P2') [[19.695786]]
('N87', 'N153') [[19.681158]]
('N153', 'M0P1') [[19.514383]]
('N104', 'N153') [[19.512175]]
('N153', 'N200') [[19.300394]]
('N9', 'N40') [[19.2551]]
('N68', 'N250') [[19.222914]]
('N88', 'M0P2') [[19.220938]]
('N80', 'N97') [[19.218222]]
('N47', 'N143') [[19.202477]]
('N9', 'N54') [[19.152845]]
('N88', 'N160') [[19.145996]]
('N95', 'N232') [[19.133938]]
('N80', 'N185') [[19.132591]]
('N54', 'N163') [[19.092978]]
('N88', 'N118') [[19.06991]]
('N153', 'N163') [[19.069736]]
('N9', 'N113') [[18.991928]]
('N68', 'N232') [[18.983107]]
('N29', 'N153') [[18.975523]]
('N33', 'N153') [[18.969555]]
('N9', 'N176') [[18.966566]]
('N176', 'N185') [[18.955406]]
('N2', 'N163') [[18.94965]]
('N103', 'N217') [[18.945911]]
('N40', 'N95') [[18.942621]]
('N9', 'N47') [[18.940382]]
('N88', 'N153') [[18.940052]]
('N47', 'N80') [[18.934578]]
('N9', 'N59') [[18.933167]]
('N68', 'N153') [[18.933111]]
('N47', 'N163') [[18.923141]]
('N88', 'N228') [[18.922573]]
('N153', 'N249') [[18.916822]]
('N153', 'N250') [[18.914104]]
('N9', 'N80') [[18.912552]]
('N2', 'N9') [[18.911333]]
('N33', 'N250') [[18.901812]]
('N14', 'N153') [[18.899956]]
('N33', 'N47') [[18.890219]]
('N47', 'N54') [[18.888783]]
('N68', 'N217') [[18.883278]]
('N68', 'N80') [[18.87895]]
('N9', 'N182') [[18.875755]]
('N9', 'N68') [[18.871344]]
('N25', 'N95') [[18.870907]]
('N14', 'N250') [[18.867968]]
('N91', 'N153') [[18.866385]]
('N47', 'N247') [[18.858871]]
('N33', 'N87') [[18.849705]]
('N2', 'N68') [[18.847605]]
('N200', 'N253') [[18.844818]]
('N153', 'N239') [[18.840088]]
('N47', 'N64') [[18.837765]]
('N95', 'N147') [[18.832336]]
('N87', 'N163') [[18.816242]]
('N153', 'N171') [[18.816025]]
('N95', 'N153') [[18.800573]]
('N47', 'N250') [[18.794193]]
('N9', 'N185') [[18.791601]]
('N163', 'N217') [[18.78577]]
('N88', 'N91') [[18.78448]]
('N88', 'N217') [[18.781073]]
('N9', 'N87') [[18.778273]]
('N9', 'N95') [[18.772442]]
('N88', 'M0P1') [[18.770046]]
('N2', 'N108') [[18.764883]]
('N9', 'N219') [[18.76389]]
('N80', 'N109') [[18.762543]]
('N29', 'N33') [[18.759848]]
('N57', 'N163') [[18.755156]]
('N47', 'N232') [[18.754295]]
('N9', 'N232') [[18.749014]]
('N33', 'N143') [[18.744598]]
('N108', 'N253') [[18.742392]]
('N118', 'N181') [[18.740328]]
('N120', 'N200') [[18.733612]]
('N163', 'N232') [[18.729202]]
('N2', 'N47') [[18.72833]]
('N80', 'N176') [[18.723135]]
('N9', 'N23') [[18.708817]]
('N65', 'N95') [[18.707]]
('N40', 'N87') [[18.705263]]
('N95', 'N163') [[18.704782]]
('N153', 'N217') [[18.703852]]
('N141', 'N232') [[18.702168]]
('N33', 'N88') [[18.695286]]
('N47', 'N141') [[18.687729]]
('N9', 'N143') [[18.687561]]
('N9', 'N144') [[18.679705]]
('N9', 'N71') [[18.67795]]
('N214', 'N217') [[18.67131]]
('N97', 'N136') [[18.67093]]
('N47', 'N120') [[18.66978]]
('N71', 'N250') [[18.667126]]
('N14', 'N120') [[18.665302]]
('N23', 'N68') [[18.665266]]
('N2', 'N34') [[18.663988]]
('N9', 'N249') [[18.657482]]
('N232', 'N250') [[18.647478]]
('N129', 'N163') [[18.645573]]
('N95', 'N111') [[18.644226]]
('N9', 'N250') [[18.643991]]
('N153', 'N232') [[18.629223]]
('N44', 'N68') [[18.62905]]
('N87', 'N221') [[18.626394]]
('N28', 'N178') [[18.62534]]
('N68', 'N88') [[18.624441]]
('N134', 'N249') [[18.623104]]
('N54', 'N134') [[18.620256]]
('N47', 'N91') [[18.61893]]
('N57', 'N250') [[18.614319]]
('N9', 'N188') [[18.613338]]
('N68', 'N118') [[18.611362]]
('N9', 'N153') [[18.611248]]
('N153', 'N193') [[18.609238]]
('N176', 'N181') [[18.60646]]
('N9', 'N139') [[18.606346]]
('N88', 'N180') [[18.599152]]
('N47', 'N77') [[18.595026]]
('N40', 'N249') [[18.593588]]
('N68', 'N104') [[18.59121]]
('N118', 'N219') [[18.589468]]
('N2', 'N143') [[18.58875]]
('N47', 'N136') [[18.588562]]
('N171', 'N247') [[18.58738]]
('N47', 'N103') [[18.5873]]
('N212', 'N218') [[18.574602]]
('N97', 'N250') [[18.573963]]
('N36', 'N153') [[18.573689]]
('N36', 'N143') [[18.573109]]
('N200', 'N232') [[18.569912]]
('N163', 'N200') [[18.567911]]
('N47', 'N95') [[18.567696]]
('N200', 'N212') [[18.567282]]
('N54', 'N232') [[18.564224]]
