('M0P1', 'M0P2') [[36.54629]]
('N74', 'M0P1') [[23.244328]]
('N158', 'M0P1') [[22.787977]]
('N74', 'M0P2') [[22.46113]]
('N158', 'M0P2') [[22.396366]]
('N74', 'N158') [[20.535656]]
('N74', 'N182') [[20.078018]]
('N9', 'M0P1') [[19.781553]]
('N3', 'N182') [[19.7498]]
('N26', 'M0P1') [[19.622425]]
('N182', 'N196') [[19.603514]]
('N85', 'N120') [[19.526394]]
('N16', 'N205') [[19.521357]]
('N74', 'N196') [[19.497398]]
('N25', 'N130') [[19.489243]]
('N226', 'N234') [[19.47413]]
('N196', 'N234') [[19.401627]]
('N25', 'N196') [[19.398989]]
('N98', 'N234') [[19.378643]]
('N25', 'N66') [[19.367487]]
('N41', 'N196') [[19.367102]]
('N121', 'N140') [[19.365147]]
('N47', 'N57') [[19.334078]]
('N3', 'N161') [[19.328846]]
('N3', 'N234') [[19.324236]]
('N9', 'M0P2') [[19.274914]]
('N121', 'N186') [[19.272827]]
('N9', 'N47') [[19.27251]]
('N171', 'N245') [[19.265387]]
('N37', 'N158') [[19.252562]]
('N25', 'N158') [[19.24392]]
('N93', 'N226') [[19.236828]]
('N196', 'N226') [[19.236238]]
('N10', 'N196') [[19.234085]]
('N41', 'N234') [[19.23331]]
('N200', 'M0P1') [[19.232628]]
('N196', 'N222') [[19.230871]]
('N120', 'N196') [[19.216774]]
('N121', 'N171') [[19.214317]]
('N98', 'N226') [[19.211288]]
('N3', 'N245') [[19.202751]]
('N3', 'N226') [[19.197557]]
('N118', 'N169') [[19.190775]]
('N37', 'N109') [[19.190603]]
('N25', 'N211') [[19.189661]]
('N182', 'N220') [[19.189377]]
('N179', 'N226') [[19.189014]]
('N9', 'N226') [[19.18021]]
('N4', 'N145') [[19.173763]]
('N3', 'N55') [[19.173416]]
('N182', 'N251') [[19.166513]]
('N240', 'M0P1') [[19.162483]]
('N57', 'N132') [[19.162397]]
('N93', 'N188') [[19.160498]]
('N25', 'N140') [[19.158264]]
('N161', 'N196') [[19.146925]]
('N47', 'N234') [[19.135326]]
('N5', 'N37') [[19.134138]]
('N25', 'N132') [[19.128958]]
('N10', 'M0P1') [[19.115646]]
('N182', 'M0P1') [[19.11065]]
('N25', 'N170') [[19.10943]]
('N145', 'N179') [[19.107733]]
('N57', 'N245') [[19.106066]]
('N205', 'N211') [[19.101511]]
('N85', 'N182') [[19.098696]]
('N69', 'N182') [[19.098228]]
('N57', 'N120') [[19.095999]]
('N121', 'N182') [[19.084724]]
('N3', 'N227') [[19.08437]]
('N62', 'N182') [[19.083021]]
('N158', 'N182') [[19.08259]]
('N37', 'N132') [[19.078411]]
('N3', 'N103') [[19.077509]]
('N10', 'N158') [[19.071474]]
('N25', 'N237') [[19.06901]]
('N102', 'N226') [[19.068892]]
('N132', 'N158') [[19.068722]]
('N9', 'N74') [[19.068575]]
('N177', 'N196') [[19.068087]]
('N57', 'N85') [[19.06612]]
('N9', 'N109') [[19.06563]]
('N141', 'N171') [[19.065344]]
('N144', 'N234') [[19.06225]]
('N57', 'N93') [[19.061016]]
('N82', 'N182') [[19.056967]]
('N3', 'N171') [[19.05246]]
('N41', 'N182') [[19.04953]]
('N93', 'N121') [[19.047077]]
('N161', 'N182') [[19.046095]]
('N25', 'N226') [[19.042717]]
('N188', 'N192') [[19.041897]]
('N25', 'N171') [[19.03518]]
('N145', 'N196') [[19.025717]]
('N175', 'N225') [[19.022633]]
('N120', 'N189') [[19.021652]]
('N182', 'N234') [[19.021158]]
('N41', 'N152') [[19.019867]]
('N9', 'N121') [[19.014877]]
('N99', 'N196') [[19.011974]]
('N25', 'N37') [[19.00996]]
('N109', 'N186') [[19.00929]]
('N20', 'N47') [[19.00638]]
('N37', 'N55') [[19.00566]]
('N130', 'N234') [[19.004204]]
('N41', 'N216') [[19.003239]]
('N172', 'N245') [[18.99775]]
('N25', 'N120') [[18.997189]]
('N53', 'N237') [[18.99675]]
('N3', 'N132') [[18.993187]]
('N9', 'N158') [[18.991201]]
('N182', 'N245') [[18.990536]]
('N25', 'N145') [[18.97819]]
('N51', 'N182') [[18.976683]]
('N78', 'N234') [[18.976513]]
('N3', 'N10') [[18.976267]]
('N41', 'N226') [[18.970999]]
('N120', 'N182') [[18.969505]]
('N106', 'N120') [[18.968786]]
('N109', 'N226') [[18.966959]]
('N20', 'N176') [[18.964836]]
('N41', 'N93') [[18.964458]]
('N189', 'N226') [[18.963392]]
('N47', 'N196') [[18.962357]]
('N47', 'N109') [[18.962082]]
('N2', 'N161') [[18.961803]]
('N3', 'N85') [[18.961016]]
('N41', 'N244') [[18.960247]]
('N47', 'N251') [[18.955746]]
