('M0P1', 'M0P2') [[54.977463]]
('N80', 'M0P1') [[20.242327]]
('N80', 'M0P2') [[19.812439]]
('N73', 'M0P1') [[19.614279]]
('N14', 'M0P2') [[19.446186]]
('N80', 'N146') [[19.41196]]
('N14', 'M0P1') [[19.408642]]
('N234', 'M0P1') [[19.406218]]
('N195', 'M0P1') [[19.09949]]
('N55', 'N195') [[19.063993]]
('N39', 'M0P1') [[19.030916]]
('N39', 'N57') [[19.012575]]
('N97', 'N195') [[18.974508]]
('N131', 'N146') [[18.925905]]
('N57', 'M0P1') [[18.914803]]
('N216', 'N243') [[18.913773]]
('N195', 'N208') [[18.907625]]
('N184', 'N195') [[18.902315]]
('N5', 'N217') [[18.901903]]
('N63', 'N195') [[18.8769]]
('N195', 'N242') [[18.861366]]
('N121', 'N195') [[18.860567]]
('N80', 'N216') [[18.858444]]
('N216', 'M0P1') [[18.851795]]
('N22', 'N55') [[18.845522]]
('N22', 'N180') [[18.835232]]
('N47', 'N195') [[18.825888]]
('N47', 'M0P1') [[18.800076]]
('N22', 'N216') [[18.798388]]
('N97', 'N216') [[18.788828]]
('N91', 'N208') [[18.78551]]
('N41', 'N83') [[18.77546]]
('N83', 'N208') [[18.770039]]
('N22', 'N97') [[18.760101]]
('N102', 'N216') [[18.757627]]
('N168', 'N184') [[18.756466]]
('N43', 'N216') [[18.756422]]
('N73', 'M0P2') [[18.752655]]
('N169', 'N208') [[18.752085]]
('N137', 'N195') [[18.751032]]
('N191', 'N195') [[18.734118]]
('N176', 'N216') [[18.727657]]
('N80', 'N108') [[18.722816]]
('N152', 'M0P1') [[18.713764]]
('N83', 'N195') [[18.68935]]
('N47', 'N55') [[18.687256]]
('N85', 'N152') [[18.681105]]
('N73', 'N83') [[18.676838]]
('N39', 'N131') [[18.668873]]
('N152', 'N195') [[18.668745]]
('N43', 'N169') [[18.668]]
('N57', 'N216') [[18.66739]]
('N146', 'N216') [[18.664295]]
('N71', 'N195') [[18.663136]]
('N152', 'N217') [[18.660288]]
('N15', 'N195') [[18.658392]]
('N13', 'N97') [[18.653347]]
('N73', 'N152') [[18.653124]]
('N190', 'N216') [[18.647757]]
('N87', 'N184') [[18.64045]]
('N43', 'N80') [[18.635973]]
('N22', 'N43') [[18.633293]]
('N173', 'N216') [[18.632677]]
('N53', 'N184') [[18.629541]]
('N97', 'N121') [[18.626532]]
('N102', 'N195') [[18.619688]]
('N85', 'N101') [[18.618986]]
('N62', 'N184') [[18.618559]]
('N97', 'N184') [[18.618252]]
('N117', 'N119') [[18.611853]]
('N43', 'N97') [[18.608725]]
('N5', 'N85') [[18.605036]]
('N73', 'N216') [[18.60289]]
('N188', 'N195') [[18.602324]]
('N55', 'N121') [[18.60108]]
('N97', 'N249') [[18.599361]]
('N180', 'N195') [[18.597754]]
('N105', 'N195') [[18.596807]]
('N3', 'N195') [[18.593082]]
('N85', 'N195') [[18.591228]]
('N73', 'N97') [[18.590994]]
('N22', 'N102') [[18.589748]]
('N63', 'N169') [[18.589714]]
('N131', 'N195') [[18.588778]]
('N195', 'N248') [[18.58802]]
('N39', 'N80') [[18.578356]]
('N157', 'N195') [[18.578196]]
('N5', 'N80') [[18.573029]]
('N85', 'N216') [[18.571339]]
('N40', 'N173') [[18.568674]]
('N188', 'M0P1') [[18.566065]]
('N5', 'N121') [[18.56448]]
('N71', 'N184') [[18.561348]]
('N53', 'N180') [[18.561333]]
('N97', 'N230') [[18.557234]]
('N39', 'M0P2') [[18.557167]]
('N54', 'N85') [[18.554049]]
('N83', 'N169') [[18.549465]]
('N166', 'N184') [[18.549152]]
('N176', 'N184') [[18.548244]]
('N163', 'N249') [[18.547342]]
('N195', 'N249') [[18.545792]]
('N78', 'N195') [[18.54478]]
('N56', 'N152') [[18.542906]]
('N166', 'N195') [[18.542864]]
('N73', 'N171') [[18.541122]]
('N22', 'N121') [[18.536707]]
('N56', 'N195') [[18.536201]]
('N208', 'N216') [[18.535189]]
('N97', 'N152') [[18.52718]]
('N57', 'N146') [[18.523342]]
('N80', 'N149') [[18.522993]]
('N71', 'N97') [[18.521105]]
('N85', 'N184') [[18.518948]]
('N77', 'N173') [[18.516504]]
('N5', 'N43') [[18.513147]]
('N146', 'N195') [[18.513079]]
('N73', 'N189') [[18.51198]]
('N121', 'N200') [[18.51169]]
('N80', 'N195') [[18.504795]]
('N54', 'N216') [[18.502918]]
('N216', 'N234') [[18.501247]]
('N170', 'N190') [[18.501163]]
('N80', 'N152') [[18.50091]]
('N134', 'N180') [[18.50069]]
('N234', 'M0P2') [[18.49952]]
('N149', 'N169') [[18.498465]]
('N57', 'N80') [[18.497091]]
('N57', 'N118') [[18.496387]]
('N97', 'N109') [[18.495255]]
('N39', 'N195') [[18.494812]]
('N80', 'N97') [[18.490547]]
('N73', 'N131') [[18.489244]]
('N22', 'N80') [[18.487028]]
('N195', 'N216') [[18.486214]]
('N5', 'N173') [[18.485254]]
('N48', 'N105') [[18.48494]]
('N173', 'N195') [[18.481209]]
('N216', 'N249') [[18.480247]]
('N13', 'N216') [[18.478502]]
('N60', 'M0P1') [[18.47438]]
('N97', 'N182') [[18.474174]]
('N110', 'N216') [[18.472008]]
('N3', 'N22') [[18.47105]]
('N73', 'N147') [[18.468008]]
('N77', 'N188') [[18.466982]]
('N152', 'N184') [[18.466303]]
('N22', 'N190') [[18.464705]]
('N73', 'N190') [[18.46415]]
('N57', 'N248') [[18.463486]]
('N169', 'N216') [[18.463385]]
('N53', 'N121') [[18.46279]]
('N195', 'M0P2') [[18.462482]]
('N5', 'N240') [[18.461903]]
('N5', 'N146') [[18.457558]]
('N31', 'N102') [[18.455908]]
('N39', 'N97') [[18.453962]]
('N57', 'N240') [[18.45239]]
('N70', 'N195') [[18.450659]]
('N85', 'N110') [[18.448587]]
('N53', 'N195') [[18.447859]]
('N137', 'N169') [[18.447721]]
('N5', 'N195') [[18.446274]]
('N169', 'N241') [[18.443272]]
('N169', 'N196') [[18.44284]]
('N157', 'N190') [[18.438095]]
('N48', 'N156') [[18.435154]]
('N77', 'N176') [[18.432367]]
('N40', 'N61') [[18.43161]]
('N150', 'N184') [[18.428717]]
('N5', 'N97') [[18.426552]]
('N184', 'N249') [[18.425144]]
('N22', 'N195') [[18.424318]]
('N102', 'N217') [[18.418676]]
('N195', 'N224') [[18.415323]]
('N146', 'N184') [[18.4138]]
('N149', 'N150') [[18.412165]]
('N152', 'M0P2') [[18.411493]]
('N13', 'N152') [[18.410864]]
('N63', 'N73') [[18.407999]]
('N180', 'N190') [[18.407764]]
('N91', 'N188') [[18.404852]]
('N21', 'N176') [[18.401716]]
('N39', 'N216') [[18.401304]]
('N149', 'N195') [[18.400997]]
('N81', 'N216') [[18.400448]]
('N48', 'N184') [[18.399014]]
('N72', 'N208') [[18.398842]]
('N22', 'N125') [[18.397532]]
('N92', 'N195') [[18.393639]]
('N63', 'N184') [[18.392939]]
('N83', 'N97') [[18.391466]]
