('M0P1', 'M0P2') [[35.691174]]
('N69', 'N172') [[19.986742]]
('N142', 'N225') [[19.674585]]
('N59', 'N122') [[19.613098]]
('N148', 'N228') [[19.514315]]
('N148', 'N153') [[19.501896]]
('N144', 'N185') [[19.499851]]
('N142', 'N202') [[19.482286]]
('N111', 'N185') [[19.465904]]
('N144', 'N148') [[19.401482]]
('N148', 'N185') [[19.39865]]
('N122', 'N148') [[19.37095]]
('N56', 'N132') [[19.342855]]
('N148', 'N215') [[19.3121]]
('N63', 'N144') [[19.308462]]
('N148', 'N165') [[19.279896]]
('N15', 'N122') [[19.276888]]
('N144', 'N186') [[19.273232]]
('N155', 'N185') [[19.253708]]
('N153', 'N237') [[19.251125]]
('N163', 'N172') [[19.247885]]
('N69', 'N148') [[19.247498]]
('N153', 'N197') [[19.244999]]
('N155', 'N172') [[19.227877]]
('N144', 'N172') [[19.217178]]
('N122', 'N155') [[19.216703]]
('N144', 'N157') [[19.21098]]
('N69', 'N144') [[19.203167]]
('N148', 'N237') [[19.20163]]
('N142', 'N179') [[19.194958]]
('N99', 'N148') [[19.179678]]
('N127', 'N241') [[19.167528]]
('N63', 'N142') [[19.154472]]
('N157', 'N185') [[19.15166]]
('N148', 'N186') [[19.149597]]
('N148', 'N155') [[19.147797]]
('N86', 'N241') [[19.12322]]
('N127', 'N139') [[19.108889]]
('N142', 'N185') [[19.10836]]
('N123', 'N142') [[19.102356]]
('N35', 'N228') [[19.100073]]
('N142', 'N246') [[19.099308]]
('N48', 'N148') [[19.097422]]
('N142', 'N144') [[19.09512]]
('N52', 'N144') [[19.09217]]
('N57', 'N185') [[19.077915]]
('N12', 'N145') [[19.06887]]
('N48', 'N144') [[19.06842]]
('N122', 'N239') [[19.058962]]
('N56', 'N155') [[19.052603]]
('N138', 'N225') [[19.052416]]
('N142', 'N165') [[19.052309]]
('N68', 'N172') [[19.04661]]
('N59', 'N142') [[19.046118]]
('N5', 'N122') [[19.04018]]
('N87', 'N142') [[19.03862]]
('N144', 'N244') [[19.037611]]
('N56', 'N212') [[19.036894]]
('N144', 'N215') [[19.036072]]
('N69', 'N142') [[19.035582]]
('N142', 'N148') [[19.02829]]
('N142', 'N172') [[19.014946]]
('N72', 'N144') [[19.01456]]
('N35', 'N148') [[19.012623]]
('N150', 'N225') [[19.004055]]
('N148', 'N241') [[19.002605]]
('N99', 'N241') [[18.995201]]
('N165', 'N185') [[18.990452]]
('N119', 'N144') [[18.988102]]
('N48', 'N142') [[18.984875]]
('N72', 'N130') [[18.984137]]
('N148', 'N193') [[18.982477]]
('N8', 'N122') [[18.98167]]
('N185', 'N193') [[18.975866]]
('N38', 'N241') [[18.974178]]
('N144', 'N252') [[18.971022]]
('N130', 'N144') [[18.962175]]
('N79', 'N139') [[18.96145]]
('N165', 'N228') [[18.957832]]
('N108', 'N185') [[18.957811]]
('N38', 'N185') [[18.957548]]
('N69', 'N224') [[18.957537]]
('N57', 'N142') [[18.954983]]
('N56', 'N69') [[18.952906]]
('N144', 'N234') [[18.949327]]
('N108', 'N199') [[18.948929]]
('N144', 'N165') [[18.946953]]
('N132', 'N185') [[18.944168]]
('N148', 'N199') [[18.94254]]
('N144', 'N168') [[18.941967]]
('N3', 'N225') [[18.938652]]
('N38', 'N148') [[18.937607]]
('N52', 'N185') [[18.93512]]
('N225', 'N248') [[18.931433]]
('N40', 'N86') [[18.929886]]
('N69', 'N165') [[18.928907]]
('N173', 'N185') [[18.9289]]
('N72', 'N168') [[18.926413]]
('N68', 'N144') [[18.919754]]
('N28', 'N96') [[18.915981]]
('N41', 'N185') [[18.912653]]
('N48', 'N153') [[18.908157]]
('N165', 'N172') [[18.904175]]
('N142', 'N237') [[18.903866]]
('N52', 'N68') [[18.896988]]
('N153', 'N215') [[18.895351]]
('N56', 'N142') [[18.895071]]
('N108', 'N165') [[18.884706]]
('N79', 'N205') [[18.88443]]
('N69', 'N163') [[18.876833]]
('N17', 'N86') [[18.87438]]
('N139', 'N185') [[18.871992]]
('N153', 'N165') [[18.869635]]
('N2', 'N224') [[18.86881]]
('N153', 'N186') [[18.865364]]
('N96', 'N148') [[18.863485]]
('N185', 'N241') [[18.863018]]
('N17', 'N235') [[18.857258]]
('N144', 'N230') [[18.857084]]
('N215', 'N228') [[18.8518]]
('N5', 'N185') [[18.85163]]
('N107', 'N211') [[18.851488]]
('N57', 'N237') [[18.848444]]
('N127', 'N246') [[18.847795]]
('N3', 'N56') [[18.845577]]
('N185', 'N215') [[18.843914]]
('N107', 'N142') [[18.843033]]
('N144', 'N231') [[18.842714]]
('N142', 'N214') [[18.842627]]
('N183', 'N214') [[18.84239]]
('N185', 'N237') [[18.842346]]
('N142', 'N232') [[18.839142]]
('N79', 'N132') [[18.838968]]
('N56', 'N185') [[18.83741]]
('N85', 'N225') [[18.836306]]
('N153', 'M0P1') [[18.83418]]
('N122', 'N178') [[18.831121]]
('N99', 'N172') [[18.831045]]
('N69', 'N180') [[18.830133]]
('N69', 'N123') [[18.829687]]
('N85', 'N185') [[18.828354]]
('N85', 'N186') [[18.825003]]
('N52', 'N172') [[18.823717]]
('N144', 'N153') [[18.821892]]
('N122', 'N144') [[18.821806]]
('N122', 'N165') [[18.819893]]
('N69', 'N235') [[18.819527]]
('N60', 'N142') [[18.818722]]
('N148', 'N201') [[18.818638]]
('N148', 'N189') [[18.817743]]
('N142', 'N193') [[18.817596]]
('N93', 'N199') [[18.812654]]
('N172', 'N235') [[18.80983]]
('N6', 'N28') [[18.806873]]
('N56', 'N144') [[18.80427]]
('N172', 'N241') [[18.80132]]
('N199', 'N215') [[18.795935]]
('N186', 'N202') [[18.794024]]
('N165', 'N201') [[18.793272]]
('N59', 'N225') [[18.793255]]
('N92', 'N148') [[18.79008]]
('N185', 'N252') [[18.789833]]
('N63', 'N148') [[18.78777]]
('N59', 'N144') [[18.7869]]
('N69', 'N119') [[18.78554]]
('N27', 'N122') [[18.782936]]
('N110', 'N185') [[18.782566]]
('N81', 'N144') [[18.781342]]
('N124', 'N165') [[18.780172]]
('N85', 'N144') [[18.780096]]
('N165', 'N168') [[18.77934]]
('N59', 'N197') [[18.77418]]
('N17', 'N40') [[18.771917]]
('N142', 'N155') [[18.771446]]
('N124', 'N228') [[18.768627]]
('N142', 'N199') [[18.767208]]
('N48', 'N185') [[18.765835]]
('N72', 'N225') [[18.765703]]
('N153', 'N241') [[18.764692]]
('N148', 'N239') [[18.764038]]
('N68', 'N148') [[18.76388]]
('N197', 'N225') [[18.763573]]
('N47', 'N56') [[18.762892]]
('N130', 'N237') [[18.761639]]
('N86', 'N225') [[18.759886]]
('N199', 'N224') [[18.759739]]
('N2', 'N199') [[18.759705]]
('N40', 'N52') [[18.755924]]
('N248', 'N252') [[18.755527]]
('N69', 'N197') [[18.751793]]
('N237', 'N241') [[18.750988]]
('N5', 'N148') [[18.74976]]
('N85', 'N142') [[18.748608]]
('N3', 'N144') [[18.74502]]
('N130', 'N142') [[18.744364]]
('N122', 'N123') [[18.743162]]
('N59', 'N148') [[18.742247]]
('N144', 'N202') [[18.741833]]
('N41', 'N186') [[18.73875]]
('N185', 'N222') [[18.738014]]
('N153', 'N185') [[18.737398]]
('N79', 'N234') [[18.7361]]
('N155', 'N239') [[18.735714]]
('N72', 'N142') [[18.735525]]
('N157', 'N197') [[18.733765]]
('N108', 'N155') [[18.732765]]
('N123', 'N144') [[18.73178]]
('N111', 'N139') [[18.730152]]
('N68', 'N96') [[18.7301]]
('N165', 'N173') [[18.727367]]
('N122', 'N142') [[18.722324]]
('N122', 'N244') [[18.720518]]
('N3', 'N165') [[18.720076]]
('N108', 'N242') [[18.719124]]
('N85', 'N199') [[18.718939]]
('N99', 'N190') [[18.718866]]
('N107', 'N108') [[18.717752]]
('N133', 'N148') [[18.717571]]
('N142', 'N226') [[18.71743]]
('N96', 'N225') [[18.715965]]
('N185', 'N202') [[18.71553]]
('N142', 'N215') [[18.714985]]
('N172', 'N225') [[18.714825]]
('N139', 'N226') [[18.712461]]
('N99', 'N122') [[18.711786]]
('N132', 'N148') [[18.711765]]
('N56', 'N165') [[18.70821]]
('N215', 'N230') [[18.705814]]
('N142', 'N239') [[18.703201]]
('N48', 'N172') [[18.702856]]
('N56', 'N172') [[18.701271]]
('N72', 'N85') [[18.701025]]
('N122', 'N225') [[18.70092]]
('N139', 'N241') [[18.70037]]
('N108', 'N144') [[18.699001]]
('N118', 'N144') [[18.698235]]
('N225', 'N239') [[18.697989]]
('N85', 'N215') [[18.697508]]
('N139', 'N150') [[18.69526]]
('N5', 'N127') [[18.694735]]
('N69', 'N155') [[18.694468]]
