('M0P1', 'M0P2') [[43.363266]]
('N131', 'M0P2') [[20.25666]]
('N117', 'N172') [[20.029278]]
('N160', 'M0P2') [[19.920965]]
('N123', 'N131') [[19.829569]]
('N131', 'N247') [[19.769747]]
('N44', 'N252') [[19.761354]]
('N123', 'N172') [[19.74392]]
('N15', 'N68') [[19.743105]]
('N236', 'N239') [[19.724663]]
('N133', 'N252') [[19.720297]]
('N206', 'M0P2') [[19.675262]]
('N117', 'N123') [[19.662117]]
('N133', 'N153') [[19.656588]]
('N109', 'N172') [[19.636028]]
('N133', 'N150') [[19.635601]]
('N11', 'N168') [[19.62012]]
('N56', 'N172') [[19.606155]]
('N131', 'M0P1') [[19.605158]]
('N68', 'N110') [[19.583914]]
('N131', 'N239') [[19.580849]]
('N172', 'N250') [[19.5564]]
('N43', 'N50') [[19.536493]]
('N85', 'N110') [[19.535105]]
('N94', 'N252') [[19.533207]]
('N209', 'M0P2') [[19.5277]]
('N24', 'N246') [[19.51354]]
('N48', 'N68') [[19.506365]]
('N108', 'N252') [[19.491001]]
('N15', 'N252') [[19.487827]]
('N36', 'N239') [[19.47767]]
('N34', 'N223') [[19.476694]]
('N42', 'N131') [[19.472795]]
('N67', 'N239') [[19.468863]]
('N68', 'N178') [[19.466343]]
('N58', 'N172') [[19.441666]]
('N133', 'N194') [[19.432924]]
('N34', 'N103') [[19.414377]]
('N43', 'N89') [[19.413597]]
('N182', 'N206') [[19.40436]]
('N50', 'N131') [[19.401016]]
('N189', 'N206') [[19.395563]]
('N73', 'N234') [[19.39398]]
('N27', 'N148') [[19.392643]]
('N89', 'N178') [[19.387846]]
('N206', 'N223') [[19.385649]]
('N112', 'N131') [[19.379202]]
('N89', 'N240') [[19.377]]
('N168', 'N172') [[19.376852]]
('N55', 'N215') [[19.376112]]
('N38', 'N247') [[19.374573]]
('N80', 'N127') [[19.372398]]
('N43', 'N202') [[19.370562]]
('N89', 'N239') [[19.362856]]
('N69', 'N172') [[19.359753]]
('N209', 'N239') [[19.355957]]
('N99', 'N117') [[19.355593]]
('N57', 'N68') [[19.35534]]
('N15', 'N119') [[19.351961]]
('N15', 'N236') [[19.342432]]
('N59', 'N209') [[19.339884]]
('N40', 'N223') [[19.339771]]
('N159', 'N172') [[19.330687]]
('N133', 'N240') [[19.33012]]
('N44', 'N206') [[19.329123]]
('N112', 'M0P2') [[19.327686]]
('N44', 'N246') [[19.327478]]
('N52', 'N209') [[19.324015]]
('N50', 'N134') [[19.323326]]
('N65', 'N209') [[19.320185]]
('N68', 'N223') [[19.319088]]
('N59', 'N239') [[19.31387]]
('N110', 'N215') [[19.310215]]
('N65', 'N73') [[19.307545]]
('N133', 'N154') [[19.306698]]
('N9', 'N55') [[19.302063]]
('N137', 'N193') [[19.298756]]
('N92', 'N133') [[19.298044]]
('N15', 'N131') [[19.296474]]
('N34', 'N159') [[19.294197]]
('N44', 'N236') [[19.293245]]
('N200', 'N227') [[19.293163]]
('N101', 'N252') [[19.290384]]
('N108', 'N133') [[19.28893]]
('N57', 'N85') [[19.281332]]
('N126', 'N206') [[19.280516]]
('N73', 'N172') [[19.279093]]
('N75', 'N252') [[19.275457]]
('N24', 'N44') [[19.275433]]
('N43', 'N69') [[19.273886]]
('N66', 'N117') [[19.27151]]
('N58', 'N73') [[19.270897]]
('N223', 'N252') [[19.270086]]
('N80', 'N134') [[19.267511]]
('N89', 'N236') [[19.266172]]
('N68', 'N85') [[19.264524]]
('N153', 'N172') [[19.262634]]
('N119', 'N236') [[19.261213]]
('N67', 'N122') [[19.26106]]
('N52', 'N235') [[19.257961]]
('N44', 'N169') [[19.25026]]
('N69', 'N126') [[19.247847]]
('N122', 'N235') [[19.246819]]
('N44', 'N73') [[19.246052]]
('N80', 'N189') [[19.245916]]
('N52', 'N133') [[19.243279]]
('N110', 'N193') [[19.242418]]
('N110', 'N119') [[19.242266]]
('N67', 'N234') [[19.240026]]
('N52', 'N154') [[19.23977]]
('N178', 'N206') [[19.23697]]
('N67', 'N73') [[19.235899]]
('N178', 'N223') [[19.232853]]
('N15', 'N85') [[19.23267]]
('N58', 'N252') [[19.231812]]
('N68', 'N224') [[19.231535]]
('N172', 'N194') [[19.23057]]
('N131', 'N172') [[19.230335]]
('N68', 'N125') [[19.22619]]
('N91', 'N178') [[19.225834]]
('N122', 'N131') [[19.225443]]
('N117', 'N131') [[19.222609]]
('N108', 'N135') [[19.22207]]
('N172', 'N247') [[19.221304]]
('N127', 'N172') [[19.22118]]
('N68', 'N106') [[19.22095]]
('N148', 'N154') [[19.219248]]
('N65', 'N234') [[19.210766]]
('N126', 'N205') [[19.209272]]
('N43', 'N131') [[19.205576]]
('N180', 'N223') [[19.201706]]
('N33', 'N252') [[19.198828]]
('N144', 'M0P2') [[19.196978]]
('N85', 'N236') [[19.196537]]
('N36', 'N131') [[19.18921]]
('N44', 'N136') [[19.188076]]
('N126', 'N209') [[19.185247]]
('N43', 'N58') [[19.184875]]
('N89', 'N193') [[19.18355]]
('N52', 'N57') [[19.182365]]
('N80', 'N115') [[19.182314]]
('N131', 'N227') [[19.181297]]
('N25', 'N43') [[19.177643]]
('N233', 'M0P2') [[19.176947]]
('N165', 'N172') [[19.176397]]
('N89', 'N108') [[19.17372]]
('N36', 'N85') [[19.171976]]
('N110', 'N202') [[19.170126]]
('N73', 'N235') [[19.170029]]
('N89', 'N91') [[19.168907]]
('N43', 'N239') [[19.168896]]
('N34', 'N252') [[19.168877]]
('N48', 'N50') [[19.16797]]
('N42', 'N172') [[19.162304]]
('N80', 'N89') [[19.160904]]
('N25', 'N73') [[19.160465]]
('N42', 'N148') [[19.160215]]
('N59', 'N236') [[19.159853]]
('N135', 'N223') [[19.159834]]
('N133', 'N190') [[19.158972]]
('N67', 'N215') [[19.155548]]
('N109', 'N117') [[19.152092]]
('N36', 'N126') [[19.151087]]
('N125', 'N210') [[19.150862]]
('N131', 'N206') [[19.150782]]
('N127', 'N135') [[19.150774]]
('N40', 'N91') [[19.14962]]
('N65', 'N80') [[19.149128]]
('N52', 'N110') [[19.144949]]
('N122', 'N168') [[19.137672]]
('N108', 'N212') [[19.136873]]
('N15', 'N221') [[19.135866]]
('N215', 'N246') [[19.135323]]
('N25', 'N133') [[19.134386]]
('N126', 'N159') [[19.134361]]
('N126', 'N239') [[19.132551]]
('N68', 'N212') [[19.132185]]
('N110', 'N247') [[19.129637]]
('N219', 'N236') [[19.128069]]
('N34', 'N48') [[19.127293]]
('N154', 'N252') [[19.12694]]
('N58', 'N223') [[19.125683]]
('N67', 'N89') [[19.121288]]
('N67', 'N75') [[19.120312]]
('N65', 'N131') [[19.119999]]
('N108', 'N236') [[19.117443]]
('N25', 'N53') [[19.117292]]
('N36', 'N67') [[19.115488]]
('N55', 'N119') [[19.113913]]
('N172', 'N215') [[19.112762]]
('N34', 'N126') [[19.111097]]
('N131', 'N198') [[19.109003]]
('N73', 'N110') [[19.108923]]
('N194', 'N252') [[19.108873]]
('N57', 'N89') [[19.108833]]
('N15', 'N112') [[19.10813]]
('N52', 'N252') [[19.107292]]
('N44', 'N209') [[19.105515]]
('N223', 'N227') [[19.104235]]
('N44', 'N54') [[19.097378]]
('N44', 'N65') [[19.097368]]
('N44', 'N189') [[19.096636]]
('N33', 'N234') [[19.096416]]
('N58', 'N133') [[19.096107]]
('N126', 'N215') [[19.095156]]
('N57', 'N180') [[19.094479]]
('N110', 'N223') [[19.093405]]
('N89', 'N148') [[19.092987]]
('N27', 'N178') [[19.092976]]
('N67', 'N223') [[19.09256]]
('N80', 'N172') [[19.091722]]
('N76', 'N110') [[19.089352]]
('N11', 'N73') [[19.088614]]
('N96', 'N172') [[19.088278]]
('N210', 'N236') [[19.084713]]
('N223', 'N234') [[19.084036]]
('N34', 'N36') [[19.082605]]
('N172', 'N242') [[19.081787]]
('N73', 'N168') [[19.081078]]
('N42', 'N73') [[19.081005]]
('N59', 'N89') [[19.080091]]
('N76', 'N215') [[19.079952]]
('N27', 'N223') [[19.079422]]
('N117', 'N194') [[19.079401]]
('N133', 'N209') [[19.077911]]
('N40', 'N154') [[19.076593]]
('N85', 'N131') [[19.075014]]
('N235', 'N252') [[19.073069]]
('N117', 'N230') [[19.072437]]
('N11', 'N89') [[19.071905]]
('N80', 'N148') [[19.071005]]
('N123', 'N247') [[19.070906]]
('N106', 'N252') [[19.070805]]
('N65', 'N247') [[19.068892]]
('N137', 'N242') [[19.068708]]
('N44', 'N55') [[19.067822]]
('N66', 'N168') [[19.066217]]
('N65', 'N252') [[19.064672]]
('N131', 'N140') [[19.062965]]
('N103', 'N252') [[19.061758]]
('N85', 'N89') [[19.058943]]
('N42', 'N89') [[19.058826]]
('N43', 'N172') [[19.058472]]
('N44', 'N131') [[19.057505]]
('N122', 'N126') [[19.057251]]
('N55', 'N236') [[19.05709]]
('N42', 'N65') [[19.056744]]
('N9', 'N15') [[19.055845]]
('N15', 'N44') [[19.055105]]
('N105', 'N252') [[19.05489]]
('N57', 'N101') [[19.054756]]
('N160', 'N247') [[19.054571]]
('N15', 'N110') [[19.052996]]
('N42', 'N66') [[19.052732]]
('N25', 'N189') [[19.052362]]
('N27', 'N40') [[19.05178]]
('N108', 'N131') [[19.050766]]
('N133', 'N172') [[19.050447]]
('N153', 'N165') [[19.050005]]
('N32', 'N252') [[19.049122]]
('N15', 'N133') [[19.049025]]
('N4', 'N206') [[19.047796]]
('N133', 'N239') [[19.047499]]
('N68', 'N247') [[19.047184]]
('N15', 'N91') [[19.0469]]
('N15', 'N73') [[19.046286]]
('N131', 'N215') [[19.046043]]
('N148', 'N247') [[19.045496]]
('N43', 'M0P2') [[19.041567]]
('N42', 'N125') [[19.041157]]
('N43', 'N223') [[19.040924]]
('N44', 'N85') [[19.04037]]
('N15', 'N108') [[19.039427]]
('N107', 'N206') [[19.037169]]
('N91', 'N136') [[19.036295]]
('N50', 'N80') [[19.036007]]
('N75', 'N108') [[19.035212]]
('N43', 'N44') [[19.034746]]
('N213', 'N252') [[19.03412]]
('N34', 'N205') [[19.03406]]
('N34', 'N50') [[19.031357]]
('N52', 'N131') [[19.031193]]
('N11', 'N223') [[19.030975]]
('N126', 'N246') [[19.030779]]
('N131', 'N154') [[19.030592]]
('N32', 'N122') [[19.029396]]
('N24', 'N227') [[19.02926]]
('N88', 'N119') [[19.027588]]
('N67', 'N236') [[19.025581]]
('N44', 'N127') [[19.024666]]
('N15', 'N247') [[19.0213]]
('N44', 'N242') [[19.021244]]
('N68', 'N159') [[19.021194]]
('N77', 'N89') [[19.02022]]
('N43', 'N80') [[19.01981]]
('N173', 'N223') [[19.019217]]
('N42', 'N154') [[19.018532]]
('N133', 'N160') [[19.0181]]
('N44', 'N76') [[19.017908]]
('N180', 'N239') [[19.016459]]
('N50', 'N227') [[19.014652]]
('N110', 'N240') [[19.0121]]
('N89', 'N110') [[19.011993]]
('N172', 'N206') [[19.011816]]
('N62', 'N252') [[19.011757]]
('N117', 'N127') [[19.011684]]
('N15', 'N76') [[19.011635]]
('N57', 'N108') [[19.01086]]
('N42', 'N206') [[19.010069]]
('N178', 'N252') [[19.006168]]
('N246', 'M0P2') [[19.005527]]
('N223', 'N248') [[19.005318]]
('N73', 'N80') [[19.004059]]
('N76', 'N108') [[19.003666]]
('N85', 'N140') [[19.002878]]
('N73', 'N89') [[19.00248]]
('N102', 'N239') [[19.00175]]
('N67', 'N172') [[19.000864]]
('N65', 'N126') [[19.000137]]
('N57', 'N236') [[18.999634]]
('N57', 'N247') [[18.998697]]
('N139', 'N239') [[18.996988]]
('N48', 'N54') [[18.99604]]
('N15', 'N36') [[18.995918]]
('N206', 'N247') [[18.99584]]
('N131', 'N219') [[18.995665]]
('N15', 'N96') [[18.995468]]
('N108', 'N227') [[18.994858]]
('N52', 'N78') [[18.994848]]
('N110', 'N182') [[18.9932]]
('N42', 'N68') [[18.992676]]
('N40', 'N135') [[18.992609]]
('N161', 'N172') [[18.992243]]
('N206', 'N252') [[18.991402]]
('N15', 'N89') [[18.989815]]
('N34', 'N193') [[18.98826]]
('N108', 'N215') [[18.987324]]
('N25', 'N248') [[18.986996]]
('N148', 'N223') [[18.986553]]
('N15', 'N94') [[18.985418]]
('N15', 'N193') [[18.98471]]
('N42', 'N251') [[18.984358]]
('N180', 'N209') [[18.98412]]
('N133', 'N206') [[18.98332]]
('N59', 'N161') [[18.982279]]
('N43', 'N235') [[18.981466]]
('N133', 'N250') [[18.980946]]
('N42', 'N236') [[18.980663]]
('N91', 'N133') [[18.979721]]
('N58', 'N148') [[18.979109]]
('N119', 'N239') [[18.978033]]
('N136', 'N236') [[18.977928]]
('N43', 'N68') [[18.977858]]
('N85', 'N125') [[18.977034]]
('N119', 'N180') [[18.976389]]
('N88', 'N108') [[18.976362]]
('N104', 'N123') [[18.975964]]
